SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
cornus alternifolia,,alternate-leaved dogwood,cornus,cornaceae,cornales,dicots,,,phanerophyte,greenwich,tree,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
cornus amomum,,silky dogwood,cornus,cornaceae,cornales,dicots,dogwoods,,phanerophyte,greenwich,shrub,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
cornus canadensis,,canadian bunchberry,cornus,cornaceae,cornales,dicots,dogwoods,,hemicryptophyte,charlevoix,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
cornus sanguinea,,common dogwood,cornus,cornaceae,cornales,dicots,dogwoods,,phanerophyte,london,shrub,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
cornus sericea,,red osia,cornus,cornaceae,cornales,dicots,dogwoods,,phanerophyte,gloucester,shrub,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
corokia cotoneaster,,korokio,corokia,argophyllaceae,asterales,dicots,,,phanerophyte,Kew,shrub,,,southern,Both,Low,None,Locally common,natural,,
correa alba,,white correa,correa,rutaceae,sapindales,dicots,,,phanerophyte,sydney,shrub,Australia,Oceania,southern,Both,Moderate,Limited,Widespread/Common,natural,,
corylus americana,,american hazelnut,corylus,betulaceae,fagales,dicots,,,phanerophyte,greenwich,shrub,Eastern United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
corylus avellana,,common hazel,corylus,betulaceae,fagales,dicots,hazels,,phanerophyte,kintbury,shrub,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
corymbia ficifolia,,red flowering gum,corymbia,myrtaceae,myrtales,dicots,,,phanerophyte,perth,tree,Australia,Oceania,southern,Both,High,Limited,Widespread/Common,bred,,
cosmos sulphureus,,yellow cosmos,cosmos,asteraceae,asterales,dicots,,,hemicryptophyte,luang prabang,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
costus woodsonii,,red button ginger,costus,costaceae,zingiberales,monocots,,,hemicryptophyte,jakarta,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
cotinus coggygria,,smokebush,cotinus,anacardiaceae,sapindales,dicots,,,phanerophyte,kintbury,shrub,,Europe,northern,Both,High,Limited,Widespread/Common,bred,,
cotoneaster horizontalis,,,cotoneaster,rosaceae,rosales,dicots,,,phanerophyte,knighton,shrub,,Asia,northern,Both,High,Limited,Widespread/Common,bred,,
couroupita guianensis,,cannonball tree,couroupita,lecythidacea,ericales,dicots,,,phanerophyte,yogyakarta,tree,,South America,southern,Cultivated,Low,None,Widespread/Common,bred,,
crambe maritima,,sea kale,crambe,brassicaceae,brassicales,dicots,,,hemicryptophyte,dorset,herb,,Europe,northern,Wild,Low,Limited,Locally common,natural,,
crassula ovata,,jade plant,crassula,crassulaceae,saxifragales,dicots,jade plants,,hemicryptophyte,ottawa,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
crassula perforata,,,crassula,crassulaceae,saxifragales,dicots,,,hemicryptophyte,singapore,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
crataegus monogyna,,common hawthorne,crataegus,rosaceae,rosales,dicots,hawthorns,,phanerophyte,london,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
crocosmia x crocosmiflora,,montbretia,crocosmia,iridaceae,asparagales,monocots,,,hemicryptophyte,london,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
crocus sativus,,saffron,crocus,iridaceae,asparagales,monocots,crocuses,irises,geophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,High,Major,Widespread/Common,bred,,
cucumis melo,,melon,cucumis,cucurbitaceae,cucurbitales,dicots,cucumbers,,hemicryptophyte,luang prabang,herb,,Africa,southern,Cultivated,High,Major,Widespread/Common,bred,,
cuminum cyminum,,cumin,cuminum,apiaceae,apiales,dicots,cumin,carrots,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Cultivated,Moderate,Major,Widespread/Common,bred,,
cunninghamia lanceolata,,chinese fir,cunninghamia,cupressaceae,cupressales,conifers,,,phanerophyte,london,tree,China,East Asia,northern,Both,Low,Limited,Widespread/Common,natural,,
cupressus cashmeriana,,kashmir cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,,phanerophyte,kew,tree,,,,Both,Low,Limited,Uncommon,natural,,
cupressus nootkatensis,,nootka cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,,phanerophyte,Kew,tree,Western United States,North America,northern,Both,Low,Limited,Widespread/Common,natural,,
cupressus sempervirens,,mediterranean cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,cypresses,phanerophyte,Scandinavian forest,tree,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,
cycas revoluta,,sago cycad,cycas,cycadaceae,cycadales,cycads,cycads,cycads,hemicryptophyte,Amman garden,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
cydonia oblonga,,quince,cydonia,rosaceae,rosales,dicots,,,phanerophyte,around amman,tree,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
cylindropuntia leptocaulis,,christmas cholla,cylindropuntia,cactaceae,caryophyllales,dicots,,cactus,phanerophyte,petra desert,shrub,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
cymbalaria muralis,,oxford ivy,cymbalaria,plantaginaceae,lamiales,dicots,,,hemicryptophyte,dorset,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
cynosurus echinatus,,hedgehog dogtail,cynosurus,poaceae,poales,monocots,,grasses,hemicryptophyte,amman,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
cyperus papyrus,,papyrus,cyperus,cyperaceae,poales,monocots,,sedges,hemicryptophyte,Fifty plants,herb,,Africa,southern,Both,Low,Limited,Widespread/Common,natural,,
cytisus scoparius,,scotch broom,cytisus,fabaceae,fabales,dicots,,,phanerophyte,london,shrub,,Europe,northern,Both,Low,None,Widespread/Common,natural,,
dacrydium cupressinum,,rimu,dacrydium,podocarpaceae,araucariales,conifers,,,phanerophyte,Kew,tree,,,southern,Both,Low,Limited,Locally common,natural,,
dahlia pinnata,,garden dahlia,dahlia,asteraceae,asterales,dicots,dahlias,daisy and sunflower,hemicryptophyte,Floral bouquet,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
daucus carota,,wild carrot,daucus,apiaceae,apiales,dicots,,,hemicryptophyte,kintbury,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
daucus pusillus,,american wild carrot,daucus,apiaceae,apiales,dicots,,carrots,hemicryptophyte,umm qais,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
delonix regia,,flame tree,delonix,fabaceae,fabales,dicots,,,phanerophyte,luang prabang,tree,,,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
diamorpha smallii,,elf orpine,diamorpha,crassulaceae,saxifragales,dicots,,stonecrop,hemicryptophyte,Scandinavian forest,herb,Eastern United States,North America,northern,Wild,Low,None,Locally common,natural,,
dicranopteris linearis,,uluhe,dicranopteris,gleicheniacea,gleicheniales,ferns,,,hemicryptophyte,singapore,herb,,Worldwide,both,Wild,Low,None,Widespread/Common,natural,,
digitalis purpurea,,foxglove,digitalis,plantaginaceae,lamiales,dicots,foxgloves,,hemicryptophyte,Fifty plants,herb,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
dimorphotheca fruticosa,,trailing african daisy,dimorphotheca,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,around amman,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
dionaea muscipula,,venus fly trap,dionaea,droseraceae,caryophyllales,dicots,,,hemicryptophyte,singapore,herb,Eastern United States,North America,northern,Cultivated,High,Limited,Rare,bred,,
diplotaxis tenuifolia,,perennial wall-rocket,diplotaxis,brassicaceae,brassicales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
dipsacus fullonum,,wild teasel,dipsacus,caprifoliaceae,dipsacales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
discaria toumatou,,matagouri,discaria,rhamnaceae,rosales,dicots,,,phanerophyte,Scandinavian forest,shrub,,,southern,Wild,Low,None,Locally common,natural,,
dodonea viscosa,,varnishleaf,dodonaea,sapindaceae,sapindales,dicots,,soapberry,phanerophyte,Amman garden,shrub,Australia,Oceania,southern,Both,Low,None,Widespread/Common,natural,,
doellingeria umbellata,,flat-top white aster,doellingeria,asteraceae,asterales,dicots,whitetops,,hemicryptophyte,charlevoix,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
dombeya wallichi,,tropical hydrangea,dombeya,malvaceae,malvales,dicots,,mallows,phanerophyte,garden,tree,,,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
doryanthes excelsa,,gymea lily,doryanthes,doryanthacea,asparagales,monocots,,,hemicryptophyte,sydney,herb,Australia,Oceania,southern,Both,Low,None,Locally common,natural,,
dracaena draco,,dragon tree,dracaena,asparagaceae,asparagales,monocots,,,phanerophyte,singapore,tree,Canary Islands,Macaronesia,,Cultivated,Moderate,Limited,Uncommon,bred,,
dracaena fragrans,,cornstalk dracaena,dracaena,asparagaceae,asparagales,monocots,,,phanerophyte,luang prabang,shrub,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
dracaena reflexa,,song of India,dracaena,asparagaceae,asparagales,monocots,,,phanerophyte,Bermondsey,shrub,,,,Cultivated,High,Limited,Widespread/Common,bred,,
dracaena trifasciata,,snake plant,dracaena,asparagaceae,asparagales,monocots,,asparagus,hemicryptophyte,Expo,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
drimia maritima,,sea squill,drimia,asparagaceae,asparagales,monocots,,asparagus,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
drosanthemum floribundum,,pale dewplant,drosanthemum,aizoaceae,caryophyllales,dicots,,stone plants,hemicryptophyte,embassy garden,herb,,Africa,southern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
dryopteris marginalis,,marginal wood fern,dryopteris,dryopteridaceae,polypodiales,ferns,,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
duranta erecta,,skyflower,duranta,verbenaceae,lamiales,dicots,,verbenas,phanerophyte,yarmouk river,shrub,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
durio zibethinus,,durian,durio,malvaceae,malvales,dicots,,,phanerophyte,bandung,tree,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
dypsis lutescens,,areca palm,dypsis,arecaceae,arecales,monocots,,,phanerophyte,lombok,tree,,,,Cultivated,High,Limited,Widespread/Common,bred,,
echinacea purpurea,,purple coneflower,echinacea,asteraceae,asterales,dicots,coneflowers,,hemicryptophyte,greenwich,herb,Eastern United States,North America,northern,Both,High,Limited,Widespread/Common,bred,,
echinocereus pentalophus,,ladyfinger cactus,echinocereus,cactaceae,caryophyllales,dicots,,,hemicryptophyte,singapore,herb,,North America,northern,Cultivated,High,Limited,Widespread/Common,bred,,
echinodorus cordifolius,,creeping burhead,echinodorus,alismataceae,alismatales,monocots,,,hemicryptophyte,jakarta,herb,,,,Both,Low,None,Widespread/Common,natural,,
echinops ritro,,southern globe-thistle,echinops,asteraceae,asterales,dicots,,,hemicryptophyte,london,herb,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,
echium pininana,,giant vipers-bugloss,echium,boraginaceae,boraginales,dicots,,,hemicryptophyte,Kew,herb,Canary Islands,Macaronesia,,Cultivated,Moderate,Limited,Locally common,bred,,
ehrharta erecta,,panic veldtgrass,ehrharta,poaceae,poales,monocots,,,hemicryptophyte,perth,herb,,Africa,southern,Wild,Low,None,Widespread/Common,natural,,
elaeagnus angustifolia,,russian olive,eleagnus,eleagnaceae,rosales,dicots,,,phanerophyte,Expo,tree,,Asia,northern,Both,Low,Limited,Widespread/Common,natural,,
eleagnus umbellata,,autumn olive,eleagnus,eleagnaceae,rosales,dicots,oleasters,,phanerophyte,greenwich,shrub,,Asia,northern,Both,Low,None,Widespread/Common,natural,,
elettaria cardamomum,,cardamom,elettaria,zingiberaceae,zingiberales,monocots,,ginger,hemicryptophyte,Fifty plants,herb,,,,Cultivated,Moderate,Major,Widespread/Common,bred,,
eleusine indica,,goosegrass,eleusine,poaceae,poales,monocots,,,hemicryptophyte,luang prabang,herb,,Africa,southern,Wild,Low,None,Widespread/Common,natural,,
encephalartos horridus,,eastern cape blue cycad,encephalartos,zamiaceae,cycadales,cycads,,,hemicryptophyte,kew,herb,,Africa,southern,Cultivated,Low,None,Rare,bred,,
encephalartos woodii,,wood's cycad,encephalartos,zamiaceae,cycadales,cycads,,,hemicryptophyte,kew,herb,,Africa,southern,Cultivated,Low,None,Very rare/Endangered,bred,,
ephedra antisyphilitica,,joint-fir,ephedra,ephedraceae,ephedrales,gnetophytes,,,phanerophyte,Expo,shrub,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
epilobium montium,,,epilobium,onagraceae,myrtales,dicots,,,hemicryptophyte,knighton,herb,,,northern,Wild,Low,None,Widespread/Common,natural,,
epipremnum aureum,,taro vine,epipremnum,araceae,alismatales,monocots,,,phanerophyte,jakarta,vine,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
erica verticillata,,whorl heath,erica,ericaceae,ericales,dicots,heathers,,phanerophyte,kew,shrub,,Africa,southern,Cultivated,Moderate,Limited,Rare,bred,,
eriobotrya japonica,,loquat,eriobotrya,rosaceae,rosales,dicots,loquats,roses,phanerophyte,Office,tree,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
eruca vesicaria,,rocket,eruca,brassicaceae,brassicales,dicots,,mustard and cabbage,hemicryptophyte,Scandinavian forest,herb,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,
eryngium yuccifolium,,rattlesnake master,eryngium,apiaceae,apiales,dicots,,,hemicryptophyte,new york,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
erysimum cheiranthoides,,wormseed mustard,erysimum,brassicaceae,brassicales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
erythroxylum coca,,cocaine,erythroxylum,erythroxylaceae,malpighiales,dicots,,,phanerophyte,Fifty plants,shrub,,South America,southern,Cultivated,Low,Major,Locally common,bred,,
escallonia robra,,redclaws,escallonia,escalloniacea,escallioniales,dicots,,,phanerophyte,nanaimo,shrub,,South America,southern,Both,Moderate,Limited,Widespread/Common,natural,,
etlingera elatior,,torch ginger,etlingera,zingiberaceae,zingiberales,monocots,,,hemicryptophyte,singapore,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
eucalyptus camaldulensis,,river redgum,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,myrtles,phanerophyte,umm qais,tree,Australia,Oceania,southern,Both,Low,Limited,Widespread/Common,natural,,
eucalyptus cinerea,,silver dollar tree,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,,phanerophyte,knighton,tree,Australia,Oceania,southern,Both,Moderate,Limited,Widespread/Common,natural,,
eucalyptus deglupta,,rainbow eucalyptus,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,,phanerophyte,perth,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
eucalyptus obliqua,,tasmanian oak,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,myrtles,phanerophyte,Fifty plants,tree,Australia,Oceania,southern,Both,Low,Major,Widespread/Common,natural,,
eucalyptus robusta,,swamp mahogany,eucalyptus,myrtaceae,myrtales,dicots,,,phanerophyte,sydney,tree,Australia,Oceania,southern,Both,Low,Limited,Widespread/Common,natural,,
eunymus japonicus,,japanese spindle tree,euonymus,celastraceae,celastrales,dicots,,,phanerophyte,Amman garden,shrub,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
euatorium capillifolium,,dogfennel,eupatorium,asteraceae,asterales,dicots,,daisy and sunflower,hemicryptophyte,wadi attun,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
eupatorium cannabinum,,holy rope,eupatorium,asteraceae,asterales,dicots,,,hemicryptophyte,london,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
codiaeum variegatum,,veriegated croton,euphorbia,euphorbiaceae,malpighiales,dicots,,,phanerophyte,jakarta,shrub,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
euphorbia caput-medusae,,medusa's head,euphorbia,euphorbiaceae,malpighiales,dicots,,,hemicryptophyte,,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
euphorbia cyparissias,,cypress spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,hemicryptophyte,nanaimo,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
euphorbia hypericifolia,,graceful spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,hemicryptophyte,timor leste,herb,,,,Wild,Low,None,Widespread/Common,natural,,
euphorbia milii,,crown-of-thorns,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,phanerophyte,jakarta,shrub,,,,Cultivated,High,Limited,Widespread/Common,bred,,
euphorbia oblongata,,eggleaf spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurges,hemicryptophyte,Scandinavian forest,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
euphorbia peplus,,petty spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurges,hemicryptophyte,yarmouk river,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
euphorbia pulcherrima,,poinsettia,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,phanerophyte,around amman,shrub,,Central America,,Cultivated,High,Major,Widespread/Common,bred,,
euphorbia terracina,,geraldton carnation weed,euphorbia,euphorbiaceae,malpighiales,dicots,,spurges,hemicryptophyte,umm qais,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
euphorbia tirucalli,,fire stick,euphorbia,euphorbiaceae,malpighiales,dicots,,spurges,phanerophyte,Expo,shrub,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
euphorbia tithymaloides,,devil's backbone,euphorbia,euphorbiaceae,malpighiales,dicots,,,hemicryptophyte,jakarta,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
euphorbia trigona,,african milk weed,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,phanerophyte,around amman,shrub,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
eurybia macrophylla,,large-leaved aster,eurybia,asteraceae,asterales,dicots,wood asters,,hemicryptophyte,charlevoix,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
euryops pectinatus,,grey-leaved euryops,euryops,asteraceae,asterales,dicots,paris daisies,,phanerophyte,around amman,shrub,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
eutrochium maculatum,,spotted joe-pye weed,eutrochium,asteraceae,asterales,dicots,,,hemicryptophyte,london,herb,Eastern United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
fagus grandifolia,,american beech,fagus,fagaceae,fagales,dicots,,,phanerophyte,greenwich,tree,Eastern United States,North America,northern,Wild,Low,Limited,Widespread/Common,natural,,
fagus sylvatica,,european beech,fagus,fagaceae,fagales,dicots,beeches,"oak, chestnut and beech",phanerophyte,online,tree,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
fatsia japonica,,japanese aralia,fatsia,araliaceae,apiales,dicots,,aralia,phanerophyte,london,shrub,,Asia,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
ferocactus pilosus,,mexican fire barrel,ferocactus,cactaceae,caryophyllales,dicots,,,hemicryptophyte,,herb,,North America,northern,Cultivated,High,Limited,Widespread/Common,bred,,
ferula communis,,giant fennel,ferula,apiaceae,apiales,dicots,,carrots,hemicryptophyte,umm qais,herb,,Mediterranean,northern,Wild,Low,None,Widespread/Common,natural,,
ficus benghalensis,,indian banyan,ficus,moraceae,rosales,dicots,,,epiphyte,,tree,,,,Both,Low,Limited,Widespread/Common,natural,,
ficus benjamina,,weeping fig,ficus,moraceae,rosales,dicots,,,phanerophyte,sydney,tree,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
ficus carica,,common fig,ficus,moraceae,rosales,dicots,figs,fig or mulberry,phanerophyte,around amman,tree,,Mediterranean,northern,Cultivated,Moderate,Limited,Widespread/Common,bred,,
ficus elastica,,rubber plant,ficus,moraceae,rosales,dicots,figs,fig or mulberry,phanerophyte,online,tree,,,,Cultivated,High,Limited,Widespread/Common,bred,,
ficus lyrata,,fiddle-leaf fig,ficus,moraceae,rosales,dicots,figs,fig or mulberry,phanerophyte,yarmouk river,tree,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
ficus macrophylla,,australian banyan,ficus,moraceae,rosales,dicots,figs,,phanerophyte,perth,tree,Australia,Oceania,southern,Both,Low,None,Widespread/Common,natural,,
ficus microcarpa,,chinese banyan,ficus,moraceae,rosales,dicots,figs,fig or mulberry,phanerophyte,Expo,tree,,Asia,northern,Both,Moderate,Limited,Widespread/Common,natural,,
ficus religiosa,,sacred fig,ficus,moraceae,rosales,dicots,figs,,phanerophyte,luang prabang,tree,,,,Both,Low,Limited,Widespread/Common,natural,,
ficus rubiginosa,,port jackson fig,ficus,moraceae,rosales,dicots,,,phanerophyte,sydney,tree,Australia,Oceania,southern,Wild,Low,None,Widespread/Common,natural,,
ficus subpisocarpa,,japanese superb fig,ficus,moraceae,rosales,dicots,,,phanerophyte,jakarta,tree,,Asia,northern,Both,Low,None,Widespread/Common,natural,,
filipendula rubra,,queen-of-the-prairie,filipendula,rosaceae,rosales,dicots,,,hemicryptophyte,london,herb,,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
flourensia cernua,,tarbush,flourensia,asteraceae,asterales,dicots,,,phanerophyte,,shrub,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
foeniculum vulgare,,fennel,foeniculum,apiaceae,apiales,dicots,fennel,carrots,hemicryptophyte,Fifty plants,herb,,Mediterranean,northern,Both,Moderate,Limited,Widespread/Common,natural,,
forestiera pubescens,,stretchberry,forestiera,oleaceae,lamiales,dicots,,olive,phanerophyte,Scandinavian forest,shrub,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
fraxinus excelsior,,european ash,fraxinus,oleaceae,lamiales,dicots,,,phanerophyte,kintbury,tree,,Europe,northern,Both,Low,Limited,Widespread/Common,natural,,
fraxinus latifolia,,oregon ash,fraxinus,oleaceae,lamiales,dicots,ashes,,phanerophyte,luang prabang,tree,Western United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
fraxinus velutina,,arizona ash,fraxinus,oleaceae,lamiales,dicots,ashes,,phanerophyte,kew,tree,Western United States,North America,northern,Both,Low,Limited,Widespread/Common,natural,,
fuchsia boliviana,,lady's eardrops,fuchsia,onagraceae,myrtales,dicots,fuschias,,phanerophyte,Kew,shrub,,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,
fuchsia hybrida,,,fuchsia,onagraceae,myrtales,dicots,fuschias,,phanerophyte,singapore,shrub,,South America,southern,Cultivated,High,Limited,Widespread/Common,bred,,
fuchsia magellanica,,hummingbird fuchsia,fuchsia,onagraceae,myrtales,dicots,fuschias,,phanerophyte,dorset,shrub,,South America,southern,Both,High,Limited,Widespread/Common,bred,,
fucus distichus,,rockweed,fucus,fucaceae,fucales,algae,,,hemicryptophyte,nanaimo,herb,,,,Wild,Low,None,Widespread/Common,natural,,
gagea lutea,,yellow star-of-bethlehem,gagea,liliaceae,liliales,monocots,,lilies,hemicryptophyte,Scandinavian forest,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
galium andrewsii,,phlox-leaved bedstraw,galium,rubiaceae,gentianales,dicots,,,hemicryptophyte,,herb,,North America,northern,Wild,Low,None,Widespread/Common,natural,,
galium aparine,,catchweed bedstraw,galium,rubiaceae,gentianales,dicots,,madder,hemicryptophyte,amman,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
gaultheria shallon,,salal,gaultheria,ericaceae,ericales,dicots,,,phanerophyte,nanaimo,shrub,Western United States,North America,northern,Wild,Low,None,Widespread/Common,natural,,
gazania linearis,,,gazania,asteraceae,asterales,dicots,,,hemicryptophyte,singapore,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
gazania rigens,,uniform treasureflower,gazania,asteraceae,asterales,dicots,,,hemicryptophyte,around amman,herb,,Africa,southern,Cultivated,High,Limited,Widespread/Common,bred,,
geranium pratense,,meadow geranium,geranium,geraniaceae,geraniales,dicots,,,hemicryptophyte,knighton,herb,,Europe,northern,Wild,Low,None,Widespread/Common,natural,,
gingko biloba,,gingko biloba,gingko,gingkoaceae,gingkoales,gingkophyta,gingko,,phanerophyte,Kew,tree,China,East Asia,northern,Both,Moderate,Limited,Locally common,natural,,
gleditsia japonica,,japanese locust,gleditsia,fabaceae,fabales,dicots,,,phanerophyte,kew,tree,,Asia,northern,Both,Low,None,Widespread/Common,natural,,
gleditsia triacanthos,,honey locust,gleditsia,fabaceae,fabales,dicots,honey locusts,,phanerophyte,greenwich,tree,Eastern United States,North America,northern,Both,Moderate,Limited,Widespread/Common,natural,,
gliricidia sepium,,madre de cacao,gliricidia,fabaceae,fabales,dicots,,,phanerophyte,timor leste,tree,,Central America,,Cultivated,Low,Limited,Widespread/Common,bred,,
glycine max,,soybean,glycine,fabaceae,fabales,dicots,,legumes,hemicryptophyte,Fifty plants,herb,,Asia,northern,Cultivated,High,Major,Widespread/Common,bred,,
gomphocarpus fruticopus,,narrow-leaf cotton,gomphocarpus,apocynaceae,gentianales,dicots,,dog-banes,hemicryptophyte,petra desert,herb,,Africa,southern,Wild,Low,None,Widespread/Common,natural,,
gomphrena globosa,,globe amaranth,gomphrena,amaranthaceae,caryophyllales,dicots,,,hemicryptophyte,luang prabang,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
gossypium hirsutum,,cotton,gossypium,malvaceae,malvales,dicots,,mallows,hemicryptophyte,Fifty Plants,herb,,Central America,,Cultivated,High,Major,Widespread/Common,bred,,
graptopetalum paraguayense,,ghost-plant,graptopetalum,crassulaceae,saxifragales,dicots,,stonecrop,hemicryptophyte,Amman garden,herb,,Central America,,Cultivated,High,Limited,Widespread/Common,bred,,
grevillea robusta,,silk oak,grevillea,proteaceae,proteales,dicots,,proteas,phanerophyte,around amman,tree,Australia,Oceania,southern,Both,Moderate,Limited,Widespread/Common,natural,,
hamelia patens,,firebush,hamelia,rubiaceae,gentianales,dicots,,madder,phanerophyte,yarmouk river,shrub,,Central America,,Cultivated,Moderate,Limited,Widespread/Common,bred,,
hebe speciosa,,veronica speciosa,hebe,plantaginaceae,lamiales,dicots,hebes,,phanerophyte,around amman,shrub,,,southern,Cultivated,High,Limited,Widespread/Common,bred,,
hedera helix,,common ivy,hedera,araliaceae,apiales,dicots,,aralia,phanerophyte,Amman garden,vine,,Europe,northern,Both,Moderate,Limited,Widespread/Common,natural,,
hedychium coronarium,,white ginger lily,hedychium,zingiberaceae,zingiberales,monocots,,,hemicryptophyte,singapore,herb,,Asia,northern,Cultivated,High,Limited,Widespread/Common,bred,,
