SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
gaultheria shallon,salal gaultheria,salal,gaultheria,ericaceae,ericales,dicots,wintergreens,heath family,chamaephyte,,shrub,Western North America,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Dark purple edible berries; important Pacific Northwest understory shrub,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Gaultheria_shallon_berries.jpg/1024px-Gaultheria_shallon_berries.jpg
gazania linearis,linear gazania,treasure flower,gazania,asteraceae,asterales,dicots,gazanias,aster family,hemicryptophyte,,herb,South Africa,Africa,Southern,Both,High,Major,Locally common,natural,Bright daisy flowers; silver-grey foliage; popular ground cover,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Gazania_linearis_flowers.jpg/1024px-Gazania_linearis_flowers.jpg
gazania rigens,stiff gazania,trailing gazania,gazania,asteraceae,asterales,dicots,gazanias,aster family,hemicryptophyte,,herb,South Africa,Africa,Southern,Both,High,Major,Locally common,natural,Orange and yellow daisy flowers; drought-tolerant ground cover,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Gazania_rigens_flowers.jpg/1024px-Gazania_rigens_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
geranium pratense,meadow geranium,meadow cranesbill,geranium,geraniaceae,geraniales,dicots,cranesbills,geranium family,hemicryptophyte,,herb,Europe,Europe,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Blue-purple flowers; deeply divided leaves; native European wildflower,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Geranium_pratense_flowers.jpg/1024px-Geranium_pratense_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
gingko biloba,two-lobed ginkgo,maidenhair tree,ginkgo,ginkgoaceae,ginkgoales,gymnosperms,maidenhair trees,ginkgo family,phanerophyte,,tree,China,East Asia,Northern,Both,High,Major,Rare,natural,Living fossil; sole survivor of ancient order; unchanged for 200 million years; sacred tree,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Ginkgo_biloba_leaves_autumn.jpg/1024px-Ginkgo_biloba_leaves_autumn.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
gleditsia japonica,japanese gleditsia,japanese honey locust,gleditsia,fabaceae,fabales,dicots,honey locusts,legume family,phanerophyte,,tree,East Asia,East Asia,Northern,Both,Moderate,Limited,Locally common,natural,Spiny trunk; compound leaves; less thorny than American species,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Gleditsia_japonica_tree.jpg/1024px-Gleditsia_japonica_tree.jpg
gleditsia triacanthos,three-thorned gleditsia,honey locust,gleditsia,fabaceae,fabales,dicots,honey locusts,legume family,phanerophyte,,tree,Central North America,North America,Northern,Both,High,Major,Widespread/Common,natural,Massive thorns on trunk; sweet pod pulp; thornless cultivars available,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Gleditsia_triacanthos_thorns.jpg/1024px-Gleditsia_triacanthos_thorns.jpg
gliricidia sepium,hedge gliricidia,mother of cocoa,gliricidia,fabaceae,fabales,dicots,gliricidia,legume family,phanerophyte,,tree,Central America,Central America,Northern,Both,Moderate,Limited,Widespread/Common,natural,Pink flowers before leaves; nitrogen-fixing; living fence posts,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Gliricidia_sepium_flowers.jpg/1024px-Gliricidia_sepium_flowers.jpg
glycine max,greatest glycine,soybean,glycine,fabaceae,fabales,dicots,soybeans,legume family,therophyte,,herb,East Asia,East Asia,Northern,Both,High,Major,Widespread/Common,bred,World's most important protein crop; nitrogen-fixing; countless cultivars,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Glycine_max_plants.jpg/1024px-Glycine_max_plants.jpg
gomphocarpus fruticosus,shrubby gomphocarpus,swan plant,gomphocarpus,apocynaceae,gentianales,dicots,milkweeds,dogbane family,chamaephyte,,shrub,South Africa,Africa,Southern,Both,Moderate,Limited,Widespread/Common,natural,Inflated seed pods; white flowers; attracts monarch butterflies; toxic milky sap,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Gomphocarpus_physocarpus_pods.jpg/1024px-Gomphocarpus_physocarpus_pods.jpg
gomphrena globosa,globe-shaped gomphrena,globe amaranth,gomphrena,amaranthaceae,caryophyllales,dicots,globe amaranths,amaranth family,therophyte,,herb,Central America,Central America,Northern,Both,High,Major,Widespread/Common,natural,Round purple flower heads; excellent dried flower; heat-tolerant annual,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Gomphrena_globosa_flowers.jpg/1024px-Gomphrena_globosa_flowers.jpg
gossypium hirsutum,hairy gossypium,upland cotton,gossypium,malvaceae,malvales,dicots,cotton,mallow family,therophyte,,herb,Central America,Central America,Northern,Both,High,Major,Widespread/Common,bred,World's most important fiber crop; white fluffy seed fibers; yellow hibiscus-like flowers,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Gossypium_hirsutum_flower.jpg/1024px-Gossypium_hirsutum_flower.jpg
graptopetalum paraguayense,paraguayan graptopetalum,ghost plant,graptopetalum,crassulaceae,saxifragales,dicots,ghost plants,stonecrop family,chamaephyte,,herb,Mexico,North America,Northern,Both,High,Major,Locally common,natural,Grey-blue succulent rosettes; star-shaped flowers; popular houseplant; drought-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Graptopetalum_paraguayense_rosettes.jpg/1024px-Graptopetalum_paraguayense_rosettes.jpg
grevillea robusta,robust grevillea,silk oak,grevillea,proteaceae,proteales,dicots,grevilleas,protea family,phanerophyte,,tree,Eastern Australia,Australia,Southern,Both,Moderate,Major,Locally common,natural,Golden bottle-brush flowers; ferny foliage; fast-growing shade tree; timber tree,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Grevillea_robusta_flowers.jpg/1024px-Grevillea_robusta_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
hamelia patens,spreading hamelia,firebush,hamelia,rubiaceae,gentianales,dicots,hamelias,madder family,phanerophyte,,shrub,Florida and Central America,Americas,Northern,Both,High,Major,Locally common,natural,Orange tubular flowers; attracts hummingbirds and butterflies; heat-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Hamelia_patens_flowers.jpg/1024px-Hamelia_patens_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
hebe speciosa,showy hebe,showy speedwell,hebe,plantaginaceae,lamiales,dicots,hebes,plantain family,phanerophyte,,shrub,New Zealand,New Zealand,Southern,Both,High,Major,Locally common,natural,Purple flower spikes; evergreen; salt-tolerant; many cultivars available,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Hebe_speciosa_flowers.jpg/1024px-Hebe_speciosa_flowers.jpg
hedera helix,twisting ivy,english ivy,hedera,araliaceae,apiales,dicots,ivies,ginseng family,phanerophyte,,vine,Europe,Europe,Northern,Both,High,Major,Widespread/Common,natural,Evergreen climbing vine; aerial roots; highly invasive in many regions,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Hedera_helix_vine.jpg/1024px-Hedera_helix_vine.jpg
hedychium coronarium,crown-like hedychium,white ginger lily,hedychium,zingiberaceae,zingiberales,monocots,ginger lilies,ginger family,hemicryptophyte,,herb,Eastern Himalayas,Asia,Northern,Both,High,Major,Locally common,natural,Fragrant white butterfly-like flowers; tropical ornamental; rhizomatous,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Hedychium_coronarium_flowers.jpg/1024px-Hedychium_coronarium_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
helianthus annuus,annual sunflower,common sunflower,helianthus,asteraceae,asterales,dicots,sunflowers,aster family,therophyte,,herb,North America,North America,Northern,Both,High,Major,Widespread/Common,bred,Iconic yellow flowers; major oil seed crop; follows sun; can reach 4m tall,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Helianthus_annuus_flower.jpg/1024px-Helianthus_annuus_flower.jpg
helianthus annuus,annual sunflower,common sunflower,helianthus,asteraceae,asterales,dicots,sunflowers,aster family,therophyte,,herb,North America,North America,Northern,Both,High,Major,Widespread/Common,bred,Duplicate entry - same as above row,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Helianthus_annuus_flower.jpg/1024px-Helianthus_annuus_flower.jpg
heliconia bihai,two-colored heliconia,lobster claw,heliconia,heliconiaceae,zingiberales,monocots,heliconias,heliconia family,hemicryptophyte,,herb,South America,South America,Southern,Both,High,Major,Locally common,natural,Bright red and yellow bracts; banana-like leaves; tropical ornamental,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Heliconia_bihai_bracts.jpg/1024px-Heliconia_bihai_bracts.jpg
heliconia latispatha,broad-spathed heliconia,expanded lobster claw,heliconia,heliconiaceae,zingiberales,monocots,heliconias,heliconia family,hemicryptophyte,,herb,Central and South America,Americas,Northern,Both,High,Major,Locally common,natural,Orange and red bracts in spiral arrangement; attracts hummingbirds,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Heliconia_latispatha_bracts.jpg/1024px-Heliconia_latispatha_bracts.jpg
heliconia rostrata,beaked heliconia,hanging lobster claw,heliconia,heliconiaceae,zingiberales,monocots,heliconias,heliconia family,hemicryptophyte,,herb,South America,South America,Southern,Both,High,Major,Locally common,natural,Pendulous red and yellow bracts; dramatic tropical ornamental,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Heliconia_rostrata_bracts.jpg/1024px-Heliconia_rostrata_bracts.jpg
heliopsis helianthoides,sunflower-like heliopsis,false sunflower,heliopsis,asteraceae,asterales,dicots,ox-eyes,aster family,hemicryptophyte,,herb,North America,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Yellow daisy flowers; rough leaves; native prairie perennial; long blooming,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Heliopsis_helianthoides_flowers.jpg/1024px-Heliopsis_helianthoides_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
hellenia speciosa,showy hellenia,costus,hellenia,costaceae,zingiberales,monocots,spiral gingers,costus family,hemicryptophyte,,herb,Southeast Asia,Southeast Asia,Northern,Both,High,Major,Locally common,natural,Spiral-arranged leaves; red cone-like bracts; tropical ornamental ginger,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Hellenia_speciosa_bracts.jpg/1024px-Hellenia_speciosa_bracts.jpg
helminthotheca echioides,viper-like helminthotheca,bristly oxtongue,helminthotheca,asteraceae,asterales,dicots,oxtongues,aster family,therophyte,,herb,Europe,Europe,Northern,Wild,Low,None,Widespread/Common,natural,Bristly leaves and stems; yellow daisy flowers; weedy annual,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Helminthotheca_echioides_flowers.jpg/1024px-Helminthotheca_echioides_flowers.jpg
hemerocallis lilioasphodelus,lily-asphodel daylily,lemon daylily,hemerocallis,asphodelaceae,asparagales,monocots,daylilies,asphodel family,hemicryptophyte,,herb,East Asia,East Asia,Northern,Both,High,Major,Widespread/Common,natural,Fragrant lemon-yellow flowers; arching leaves; each flower lasts one day,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Hemerocallis_lilioasphodelus_flowers.jpg/1024px-Hemerocallis_lilioasphodelus_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
heracleum sphondylium,vertebrae-like heracleum,common hogweed,heracleum,apiaceae,apiales,dicots,hogweeds,carrot family,hemicryptophyte,,herb,Europe,Europe,Northern,Wild,Low,None,Widespread/Common,natural,Large white umbel flowers; can cause skin burns; tall robust herb,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Heracleum_sphondylium_flowers.jpg/1024px-Heracleum_sphondylium_flowers.jpg
heuchera americana,american heuchera,american alumroot,heuchera,saxifragaceae,saxifragales,dicots,coral bells,saxifrage family,hemicryptophyte,,herb,Eastern North America,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Rounded leaves; delicate flower spikes; woodland native; medicinal uses,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Heuchera_americana_flowers.jpg/1024px-Heuchera_americana_flowers.jpg
heuchera micrantha,small-flowered heuchera,small-flowered alumroot,heuchera,saxifragaceae,saxifragales,dicots,coral bells,saxifrage family,hemicryptophyte,,herb,Western North America,North America,Northern,Wild,High,Major,Locally common,natural,Parent of many garden heucheras; small white flowers; colorful foliage cultivars,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Heuchera_micrantha_flowers.jpg/1024px-Heuchera_micrantha_flowers.jpg
hevea brasiliensis,brazilian hevea,rubber tree,hevea,euphorbiaceae,malpighiales,dicots,rubber trees,spurge family,phanerophyte,,tree,Amazon Basin,South America,Southern,Both,High,Major,Locally common,natural,Primary source of natural rubber; milky latex tapped from bark; three-leaflet leaves,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Hevea_brasiliensis_tree.jpg/1024px-Hevea_brasiliensis_tree.jpg
hibbertia scandens,climbing hibbertia,climbing guinea flower,hibbertia,dilleniaceae,dilleniales,dicots,guinea flowers,dillenia family,phanerophyte,,vine,Eastern Australia,Australia,Southern,Both,Moderate,Limited,Locally common,natural,Bright yellow flowers; climbing or sprawling habit; Australian native,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Hibbertia_scandens_flowers.jpg/1024px-Hibbertia_scandens_flowers.jpg
hibiscus moscheutos,musky hibiscus,swamp mallow,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallow family,hemicryptophyte,,herb,Eastern North America,North America,Northern,Both,High,Major,Locally common,natural,Huge white or pink flowers; wetland native; dinner-plate sized blooms,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Hibiscus_moscheutos_flower.jpg/1024px-Hibiscus_moscheutos_flower.jpg
hibiscus rosa-sinensis,chinese rose hibiscus,chinese hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallow family,phanerophyte,,shrub,East Asia,East Asia,Northern,Both,High,Major,Widespread/Common,bred,Showy tropical flowers; countless cultivars; state flower of Hawaii,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Hibiscus_rosa-sinensis_flower.jpg/1024px-Hibiscus_rosa-sinensis_flower.jpg
hibiscus sabdariffa,red hibiscus,roselle,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallow family,therophyte,,herb,West Africa,Africa,Northern,Both,High,Major,Widespread/Common,bred,Red calyces used for hibiscus tea; edible flowers and leaves; annual herb,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Hibiscus_sabdariffa_calyces.jpg/1024px-Hibiscus_sabdariffa_calyces.jpg
hibiscus syriacus,syrian hibiscus,rose of sharon,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallow family,phanerophyte,,shrub,East Asia,East Asia,Northern,Both,High,Major,Widespread/Common,natural,Late summer flowers; many colors available; hardy deciduous shrub,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Hibiscus_syriacus_flowers.jpg/1024px-Hibiscus_syriacus_flowers.jpg
hibiscus tiliaceus,linden-like hibiscus,sea hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallow family,phanerophyte,,tree,Tropical coasts worldwide,Global,Both,Wild,Moderate,Limited,Widespread/Common,natural,Yellow flowers turn orange-red; heart-shaped leaves; coastal tolerance,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Hibiscus_tiliaceus_flowers.jpg/1024px-Hibiscus_tiliaceus_flowers.jpg
holcus lanatus,woolly holcus,yorkshire fog,holcus,poaceae,poales,monocots,soft grasses,grass family,hemicryptophyte,,herb,Europe,Europe,Northern,Wild,Low,None,Widespread/Common,natural,Soft velvety grass; pale purple flower heads; can cause hay fever,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Holcus_lanatus_grass.jpg/1024px-Holcus_lanatus_grass.jpg
homalanthus populifolius,poplar-leaved homalanthus,bleeding heart tree,homalanthus,euphorbiaceae,malpighiales,dicots,bleeding hearts,spurge family,phanerophyte,,tree,Eastern Australia,Australia,Southern,Wild,Low,None,Locally common,natural,Heart-shaped leaves; red sap when cut; pioneer rainforest species,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Homalanthus_populifolius_leaves.jpg/1024px-Homalanthus_populifolius_leaves.jpg
hordeum murinum,wall barley,mouse barley,hordeum,poaceae,poales,monocots,barleys,grass family,therophyte,,herb,Europe,Europe,Northern,Wild,Low,None,Widespread/Common,natural,Weedy annual grass; three-awned spikelets; grows along walls and paths,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Hordeum_murinum_seedhead.jpg/1024px-Hordeum_murinum_seedhead.jpg
hordeum vulgare,common barley,barley,hordeum,poaceae,poales,monocots,barleys,grass family,therophyte,,herb,Fertile Crescent,Middle East,Northern,Both,High,Major,Widespread/Common,bred,Ancient cereal crop; used for food beer and animal feed; distinctive long awns,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Hordeum_vulgare_field.jpg/1024px-Hordeum_vulgare_field.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
,,,,,,,,,,,unknown,,,,,,,,,,,
humulus lupulus,hop humulus,common hop,humulus,cannabaceae,rosales,dicots,hops,hemp family,phanerophyte,,vine,Northern Hemisphere,Global,Northern,Both,High,Major,Widespread/Common,natural,Essential for beer brewing; climbing vine; cone-like female flowers; dioecious,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Humulus_lupulus_cones.jpg/1024px-Humulus_lupulus_cones.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
hydrangea arborescens,tree-like hydrangea,smooth hydrangea,hydrangea,hydrangeaceae,cornales,dicots,hydrangeas,hydrangea family,phanerophyte,,shrub,Eastern North America,North America,Northern,Both,High,Major,Widespread/Common,natural,Large white flower clusters; native understory shrub; shade tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Hydrangea_arborescens_flowers.jpg/1024px-Hydrangea_arborescens_flowers.jpg
hydrangea macrophylla,large-leaved hydrangea,bigleaf hydrangea,hydrangea,hydrangeaceae,cornales,dicots,hydrangeas,hydrangea family,phanerophyte,,shrub,East Asia,East Asia,Northern,Both,High,Major,Widespread/Common,natural,Color changes with soil pH; blue in acidic pink in alkaline soil; popular ornamental,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Hydrangea_macrophylla_flowers.jpg/1024px-Hydrangea_macrophylla_flowers.jpg
hydrangea quercifolia,oak-leaved hydrangea,oakleaf hydrangea,hydrangea,hydrangeaceae,cornales,dicots,hydrangeas,hydrangea family,phanerophyte,,shrub,Southeastern United States,North America,Northern,Both,High,Major,Locally common,natural,Oak-shaped leaves; white cone-shaped flower clusters; excellent fall color,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Hydrangea_quercifolia_flowers.jpg/1024px-Hydrangea_quercifolia_flowers.jpg
hylocomium splendens,splendid hylocomium,stair-step moss,hylocomium,hylocomiaceae,hypnales,bryophytes,stair-step mosses,hylocomium moss family,chamaephyte,,other,Northern Hemisphere,Global,Northern,Wild,Low,None,Widespread/Common,natural,Distinctive tiered growth pattern; important forest floor moss; circumboreal,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Hylocomium_splendens_moss.jpg/1024px-Hylocomium_splendens_moss.jpg
hylodesmum glutinosum,sticky hylodesmum,pointed-leaf tick-trefoil,hylodesmum,fabaceae,fabales,dicots,tick-trefoils,legume family,hemicryptophyte,,herb,Eastern North America,North America,Northern,Wild,Low,None,Widespread/Common,natural,Three-leaflet leaves; sticky seeds cling to clothing; woodland species,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Hylodesmum_glutinosum_leaves.jpg/1024px-Hylodesmum_glutinosum_leaves.jpg
hylotelephium telephium,distant-viewing hylotelephium,live-forever,hylotelephium,crassulaceae,saxifragales,dicots,stonecrops,stonecrop family,hemicryptophyte,,herb,Europe,Europe,Northern,Both,High,Major,Widespread/Common,natural,Succulent leaves; pink flower clusters; extremely drought-tolerant; long-lived,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Hylotelephium_telephium_flowers.jpg/1024px-Hylotelephium_telephium_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
hymenocallis littoralis,coastal hymenocallis,spider lily,hymenocallis,amaryllidaceae,asparagales,monocots,spider lilies,amaryllis family,geophyte,,herb,Tropical Americas,Americas,Both,Both,High,Major,Locally common,natural,White spider-like flowers; fragrant; strap-shaped leaves; bulbous,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Hymenocallis_littoralis_flowers.jpg/1024px-Hymenocallis_littoralis_flowers.jpg
hypericum perforatum,perforated hypericum,st john's wort,hypericum,hypericaceae,malpighiales,dicots,st john's worts,st john's wort family,hemicryptophyte,,herb,Europe,Europe,Northern,Both,Moderate,Major,Widespread/Common,natural,Yellow flowers; translucent leaf dots; important medicinal herb; can be invasive,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Hypericum_perforatum_flowers.jpg/1024px-Hypericum_perforatum_flowers.jpg
hypericum pulchrum,beautiful hypericum,slender st john's wort,hypericum,hypericaceae,malpighiales,dicots,st john's worts,st john's wort family,hemicryptophyte,,herb,Europe,Europe,Northern,Wild,Low,None,Widespread/Common,natural,Small yellow flowers with red buds; heath and moorland species; perennial herb,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Hypericum_pulchrum_flowers.jpg/1024px-Hypericum_pulchrum_flowers.jpg
hypoestes phyllostachya,leaf-spike hypoestes,polka dot plant,hypoestes,acanthaceae,lamiales,dicots,polka dot plants,acanthus family,hemicryptophyte,,herb,Madagascar,Africa,Southern,Both,High,Major,Locally common,natural,Spotted leaves in pink white or red; popular houseplant; small purple flowers,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Hypoestes_phyllostachya_leaves.jpg/1024px-Hypoestes_phyllostachya_leaves.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
ibervillea lindheimeri,Lindheimer's ibervillea,globe berry,ibervillea,cucurbitaceae,cucurbitales,dicots,globe berries,gourd family,geophyte,,vine,Texas and Mexico,North America,Northern,Wild,Low,None,Locally common,natural,Large underground tuber; climbing vine; red berries; desert adaptation,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Ibervillea_lindheimeri_berries.jpg/1024px-Ibervillea_lindheimeri_berries.jpg
ilex cornuta,horned holly,chinese holly,ilex,aquifoliaceae,aquifoliales,dicots,hollies,holly family,phanerophyte,,shrub,China and Korea,East Asia,Northern,Both,High,Major,Widespread/Common,natural,Spiny rectangular leaves; bright red berries; popular landscape plant,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Ilex_cornuta_berries.jpg/1024px-Ilex_cornuta_berries.jpg
ilex mucronata,sharp-pointed holly,mountain holly,ilex,aquifoliaceae,aquifoliales,dicots,hollies,holly family,phanerophyte,,shrub,Eastern North America,North America,Northern,Wild,Moderate,Limited,Widespread/Common,natural,Small leaves; red berries; native wetland shrub; dioecious,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Ilex_mucronata_berries.jpg/1024px-Ilex_mucronata_berries.jpg
impatiens hawkeri,Hawker's impatiens,new guinea impatiens,impatiens,balsaminaceae,ericales,dicots,touch-me-nots,balsam family,therophyte,,herb,New Guinea,Melanesia,Southern,Both,High,Major,Locally common,natural,Large colorful flowers; variegated leaves; popular bedding plant; heat-tolerant,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Impatiens_hawkeri_flowers.jpg/1024px-Impatiens_hawkeri_flowers.jpg
impatiens walleriana,Waller's impatiens,busy lizzie,impatiens,balsaminaceae,ericales,dicots,touch-me-nots,balsam family,therophyte,,herb,East Africa,Africa,Northern,Both,High,Major,Widespread/Common,natural,Shade-loving annual; constant bloomer; explosive seed pods; popular bedding plant,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Impatiens_walleriana_flowers.jpg/1024px-Impatiens_walleriana_flowers.jpg
,,,,,,,,,,,unknown,,,,,,,,,,,
indigofera tinctoria,dye-bearing indigofera,true indigo,indigofera,fabaceae,fabales,dicots,indigos,legume family,phanerophyte,,shrub,Asia,Asia,Northern,Both,High,Major,Locally common,natural,Historical source of indigo dye; pink flower spikes; nitrogen-fixing shrub,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Indigofera_tinctoria_flowers.jpg/1024px-Indigofera_tinctoria_flowers.jpg
inula helenium,Helen's inula,elecampane,inula,asteraceae,asterales,dicots,fleabanes,aster family,hemicryptophyte,,herb,Europe and Asia,Eurasia,Northern,Both,Low,Limited,Widespread/Common,natural,Large yellow daisy flowers; huge basal leaves; medicinal root; tall robust herb,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Inula_helenium_flowers.jpg/1024px-Inula_helenium_flowers.jpg
ipomoea batatas,sweet potato ipomoea,sweet potato,ipomoea,convolvulaceae,solanales,dicots,morning glories,morning glory family,geophyte,,vine,Central America,Central America,Northern,Both,High,Major,Widespread/Common,bred,Orange tuberous roots; important food crop; heart-shaped leaves; purple flowers,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Ipomoea_batatas_tubers.jpg/1024px-Ipomoea_batatas_tubers.jpg
ipomoea cairica,from Cairo ipomoea,cairo morning glory,ipomoea,convolvulaceae,solanales,dicots,morning glories,morning glory family,phanerophyte,,vine,North Africa,Africa,Northern,Both,Low,None,Widespread/Common,natural,Purple morning glory flowers; palmate leaves; can be invasive climbing vine,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Ipomoea_cairica_flowers.jpg/1024px-Ipomoea_cairica_flowers.jpg
iresine herbstii,Herbst's iresine,bloodleaf,iresine,amaranthaceae,caryophyllales,dicots,bloodleaves,amaranth family,hemicryptophyte,,herb,South America,South America,Southern,Both,High,Major,Locally common,natural,Colorful red-purple foliage; popular foliage plant; tiny inconspicuous flowers,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Iresine_herbstii_foliage.jpg/1024px-Iresine_herbstii_foliage.jpg
iris germanica,german iris,bearded iris,iris,iridaceae,asparagales,monocots,irises,iris family,geophyte,,herb,Mediterranean,Mediterranean,Northern,Both,High,Major,Widespread/Common,bred,Classic garden iris; numerous cultivars; sword-like leaves; rhizomatous,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Iris_germanica_flowers.jpg/1024px-Iris_germanica_flowers.jpg
iris nigricans,blackish iris,black iris,iris,iridaceae,asparagales,monocots,irises,iris family,geophyte,,herb,Jordan,Middle East,Northern,Wild,Low,None,Very rare,natural,National flower of Jordan; nearly black flowers; endangered species,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Iris_nigricans_flowers.jpg/1024px-Iris_nigricans_flowers.jpg
iris siberica,siberian iris,siberian iris,iris,iridaceae,asparagales,monocots,irises,iris family,geophyte,,herb,Eastern Europe and Asia,Eurasia,Northern,Both,High,Major,Widespread/Common,natural,Purple-blue flowers; grasslike leaves; water garden plant; cold-hardy,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Iris_sibirica_flowers.jpg/1024px-Iris_sibirica_flowers.jpg
ixora chinensis,chinese ixora,chinese ixora,ixora,rubiaceae,gentianales,dicots,flame of the woods,madder family,phanerophyte,,shrub,Southern China,East Asia,Northern,Both,High,Major,Locally common,natural,Clusters of small tubular flowers; glossy evergreen leaves; tropical ornamental,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Ixora_chinensis_flowers.jpg/1024px-Ixora_chinensis_flowers.jpg
