SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS
,,,erodium,geraniaceae,geraniales,dicots,storksbill,,,NA,herb,Mediterranean,Wild,Low,None,Widespread/Common
eruca vesicaria,,rocket,eruca,brassicaceae,brassicales,dicots,,mustard and cabbage,,Scandinavian forest,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
eryngium yuccifolium,,rattlesnake master,eryngium,apiaceae,apiales,dicots,,,,new york,herb,North America,Wild,Low,None,Widespread/Common
erysimum cheiranthoides,,wormseed mustard,erysimum,brassicaceae,brassicales,dicots,,,,knighton,herb,Europe,Wild,Low,None,Widespread/Common
,,,erythronium,liliaceae,liliales,monocots,glacier lilies,,,NA,herb,Northern Hemisphere,Wild,Moderate,Limited,Widespread/Common
erythroxylum coca,,cocaine,erythroxylum,erythroxylaceae,malpighiales,dicots,,,,Fifty plants,shrub,South America,Cultivated,Low,Major,Locally common
escallonia robra,,redclaws,escallonia,escalloniacea,escallioniales,dicots,,,,nanaimo,shrub,South America,Both,Moderate,Limited,Widespread/Common
etlingera elatior,,torch ginger,etlingera,zingiberaceae,zingiberales,monocots,,,,singapore,herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
eucalyptus camaldulensis,,river redgum,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,myrtles,tree,umm qais,tree,Australia,Both,Low,Limited,Widespread/Common
eucalyptus cinerea,,silver dollar tree,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,,,knighton,tree,Australia,Both,Moderate,Limited,Widespread/Common
eucalyptus deglupta,,rainbow eucalyptus,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,,,perth,tree,Southeast Asia,Both,Moderate,Limited,Widespread/Common
eucalyptus obliqua,,tasmanian oak,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,myrtles,tree,Fifty plants,tree,Australia,Both,Low,Major,Widespread/Common
eucalyptus robusta,,swamp mahogany,eucalyptus,myrtaceae,myrtales,dicots,,,,sydney,tree,Australia,Both,Low,Limited,Widespread/Common
eunymus japonicus,,japanese spindle tree,euonymus,celastraceae,celastrales,dicots,,,,Amman garden,shrub,Asia,Cultivated,Moderate,Limited,Widespread/Common
euatorium capillifolium,,dogfennel,eupatorium,asteraceae,asterales,dicots,,daisy and sunflower,,wadi attun,herb,North America,Wild,Low,None,Widespread/Common
eupatorium cannabinum,,holy rope,eupatorium,asteraceae,asterales,dicots,,,,london,herb,Europe,Wild,Low,None,Widespread/Common
codiaeum variegatum,,veriegated croton,euphorbia,euphorbiaceae,malpighiales,dicots,,,,jakarta,shrub,Southeast Asia,Cultivated,High,Limited,Widespread/Common
euphorbia caput-medusae,,medusa's head,euphorbia,euphorbiaceae,malpighiales,dicots,,,,NA,herb,Africa,Cultivated,High,Limited,Widespread/Common
euphorbia cyparissias,,cypress spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,,nanaimo,herb,Europe,Wild,Low,None,Widespread/Common
euphorbia hypericifolia,,graceful spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,,timor leste,herb,Americas,Wild,Low,None,Widespread/Common
euphorbia milii,,crown-of-thorns,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,,jakarta,shrub,Madagascar,Cultivated,High,Limited,Widespread/Common
euphorbia oblongata,,eggleaf spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurges,,Scandinavian forest,herb,Europe,Wild,Low,None,Widespread/Common
euphorbia peplus,,petty spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurges,,yarmouk river,herb,Europe,Wild,Low,None,Widespread/Common
euphorbia pulcherrima,,poinsettia,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,,around amman,shrub,Central America,Cultivated,High,Major,Widespread/Common
euphorbia terracina,,geraldton carnation weed,euphorbia,euphorbiaceae,malpighiales,dicots,,spurges,,umm qais,herb,Mediterranean,Wild,Low,None,Widespread/Common
euphorbia tirucalli,,fire stick,euphorbia,euphorbiaceae,malpighiales,dicots,,spurges,,Expo,shrub,Africa,Cultivated,High,Limited,Widespread/Common
euphorbia tithymaloides,,devil's backbone,euphorbia,euphorbiaceae,malpighiales,dicots,,,,jakarta,herb,Central America,Cultivated,High,Limited,Widespread/Common
euphorbia trigona,,african milk weed,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,,around amman,shrub,Africa,Cultivated,High,Limited,Widespread/Common
,,,euryale,nymphaeaceae,nymphaeales,early angiosperms,fox nut,,,NA,herb,Asia,Wild,Low,Limited,Locally common
eurybia macrophylla,,large-leaved aster,eurybia,asteraceae,asterales,dicots,wood asters,,,charlevoix,herb,Eastern North America,Wild,Low,None,Widespread/Common
euryops pectinatus,,grey-leaved euryops,euryops,asteraceae,asterales,dicots,paris daisies,,,around amman,shrub,Africa,Cultivated,High,Limited,Widespread/Common
eutrochium maculatum,,spotted joe-pye weed,eutrochium,asteraceae,asterales,dicots,,,,london,herb,Eastern North America,Wild,Low,None,Widespread/Common
,,,fagopyrum,polygonaceae,caryophyllales,dicots,buckwheat,,,NA,herb,Asia,Cultivated,Moderate,Limited,Widespread/Common
fagus grandifolia,,american beech,fagus,fagaceae,fagales,dicots,,,tree,greenwich,tree,Eastern North America,Wild,Low,Limited,Widespread/Common
fagus sylvatica,,european beech,fagus,fagaceae,fagales,dicots,beeches,"oak, chestnut and beech",tree,online,tree,Europe,Both,Moderate,Limited,Widespread/Common
,,,fallopia,polygonaceae,caryophyllales,dicots,knotweeds,,,NA,herb,Asia,Wild,Low,None,Widespread/Common
fatsia japonica,,japanese aralia,fatsia,araliaceae,apiales,dicots,,aralia,,london,shrub,Asia,Cultivated,Moderate,Limited,Widespread/Common
ferocactus pilosus,,mexican fire barrel,ferocactus,cactaceae,caryophyllales,dicots,,,,NA,herb,North America,Cultivated,High,Limited,Widespread/Common
ferula communis,,giant fennel,ferula,apiaceae,apiales,dicots,,carrots,,umm qais,herb,Mediterranean,Wild,Low,None,Widespread/Common
,,,festuca,poaceae,poales,monocots,fescues,,,NA,herb,Worldwide,Wild,Low,Limited,Widespread/Common
ficus benghalensis,,indian banyan,ficus,moraceae,rosales,dicots,,,epiphyte,NA,tree,India,Both,Low,Limited,Widespread/Common
ficus benjamina,,weeping fig,ficus,moraceae,rosales,dicots,,,,sydney,tree,Southeast Asia,Cultivated,High,Limited,Widespread/Common
ficus carica,,common fig,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,around amman,tree,Mediterranean,Cultivated,Moderate,Limited,Widespread/Common
ficus elastica,,rubber plant,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,online,tree,India,Cultivated,High,Limited,Widespread/Common
ficus lyrata,,fiddle-leaf fig,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,yarmouk river,tree,Africa,Cultivated,High,Limited,Widespread/Common
ficus macrophylla,,australian banyan,ficus,moraceae,rosales,dicots,figs,,,perth,tree,Australia,Both,Low,None,Widespread/Common
ficus microcarpa,,chinese banyan,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,Expo,tree,Southeast Asia,Both,Moderate,Limited,Widespread/Common
ficus religiosa,,sacred fig,ficus,moraceae,rosales,dicots,figs,,,luang prabang,tree,India,Both,Low,Limited,Widespread/Common
ficus rubiginosa,,port jackson fig,ficus,moraceae,rosales,dicots,,,,sydney,tree,Australia,Wild,Low,None,Widespread/Common
ficus subpisocarpa,,japanese superb fig,ficus,moraceae,rosales,dicots,,,,jakarta,tree,Asia,Both,Low,None,Widespread/Common
filipendula rubra,,queen-of-the-prairie,filipendula,rosaceae,rosales,dicots,,,,london,herb,North America,Both,Moderate,Limited,Widespread/Common
flourensia cernua,,tarbush,flourensia,asteraceae,asterales,dicots,,,,NA,shrub,North America,Wild,Low,None,Widespread/Common
foeniculum vulgare,,fennel,foeniculum,apiaceae,apiales,dicots,fennel,carrots,,Fifty plants,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
forestiera pubescens,,stretchberry,forestiera,oleaceae,lamiales,dicots,,olive,,Scandinavian forest,shrub,North America,Wild,Low,None,Widespread/Common
,,,fortunella,rutaceae,sapindales,dicots,kumquats,,,NA,tree,Asia,Cultivated,High,Limited,Widespread/Common
,,,fothergilla,hamamelidaceae,saxifragales,dicots,witchelder,,,NA,shrub,Eastern North America,Both,Moderate,Limited,Widespread/Common
fraxinus excelsior,,european ash,fraxinus,oleaceae,lamiales,dicots,,,tree,kintbury,tree,Europe,Both,Low,Limited,Widespread/Common
fraxinus latifolia,,oregon ash,fraxinus,oleaceae,lamiales,dicots,ashes,,,luang prabang,tree,Western North America,Wild,Low,None,Widespread/Common
fraxinus velutina,,arizona ash,fraxinus,oleaceae,lamiales,dicots,ashes,,tree,kew,tree,Western North America,Both,Low,Limited,Widespread/Common
,,,freesia,iridaceae,asparagales,monocots,freesias,,,NA,herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,fritillaria,liliaceae,liliales,monocots,,,,NA,herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
fuchsia boliviana,,lady's eardrops,fuchsia,onagraceae,myrtales,dicots,fuschias,,,Kew,shrub,South America,Cultivated,High,Limited,Widespread/Common
fuchsia hybrida,,,fuchsia,onagraceae,myrtales,dicots,fuschias,,,singapore,shrub,South America,Cultivated,High,Limited,Widespread/Common
fuchsia magellanica,,hummingbird fuchsia,fuchsia,onagraceae,myrtales,dicots,fuschias,,,dorset,shrub,South America,Both,High,Limited,Widespread/Common
fucus distichus,,rockweed,fucus,fucaceae,fucales,algae,,,,nanaimo,herb,North Atlantic,Wild,Low,None,Widespread/Common
gagea lutea,,yellow star-of-bethlehem,gagea,liliaceae,liliales,monocots,,lilies,,Scandinavian forest,herb,Europe,Wild,Low,None,Widespread/Common
,,,galanthus,amaryllidaceae,asparagales,monocots,snowdrops,,,NA,herb,Europe,Both,High,Limited,Widespread/Common
galium andrewsii,,phlox-leaved bedstraw,galium,rubiaceae,gentianales,dicots,,,,NA,herb,North America,Wild,Low,None,Widespread/Common
galium aparine,,catchweed bedstraw,galium,rubiaceae,gentianales,dicots,,madder,,amman,herb,Europe,Wild,Low,None,Widespread/Common
gaultheria shallon,,salal,gaultheria,ericaceae,ericales,dicots,,,,nanaimo,shrub,Western North America,Wild,Low,None,Widespread/Common
gazania linearis,,,gazania,asteraceae,asterales,dicots,,,,singapore,herb,Africa,Cultivated,High,Limited,Widespread/Common
gazania rigens,,uniform treasureflower,gazania,asteraceae,asterales,dicots,,,,around amman,herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,gentiana,gentianaceae,gentianales,dicots,gentians,,,NA,herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
geranium pratense,,meadow geranium,geranium,geraniaceae,geraniales,dicots,,,,knighton,herb,Europe,Wild,Low,None,Widespread/Common
,,,geranium,geraniaceae,geraniales,dicots,cranesbill,,,NA,herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
gingko biloba,,gingko biloba,gingko,gingkoaceae,gingkoales,gingkophyta,gingko,,tree,Kew,tree,China,Both,Moderate,Limited,Locally common
,,,gladiolus,iridaceae,asparagales,monocots,gladioli,,,NA,herb,Africa,Cultivated,High,Limited,Widespread/Common
gleditsia japonica,,japanese locust,gleditsia,fabaceae,fabales,dicots,,,tree,kew,tree,Asia,Both,Low,None,Widespread/Common
gleditsia triacanthos,,honey locust,gleditsia,fabaceae,fabales,dicots,honey locusts,,tree,greenwich,tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
gliricidia sepium,,madre de cacao,gliricidia,fabaceae,fabales,dicots,,,,timor leste,tree,Central America,Cultivated,Low,Limited,Widespread/Common
glycine max,,soybean,glycine,fabaceae,fabales,dicots,,legumes,,Fifty plants,herb,Asia,Cultivated,High,Major,Widespread/Common
gomphocarpus fruticopus,,narrow-leaf cotton,gomphocarpus,apocynaceae,gentianales,dicots,,dog-banes,,petra desert,herb,Africa,Wild,Low,None,Widespread/Common
gomphrena globosa,,globe amaranth,gomphrena,amaranthaceae,caryophyllales,dicots,,,,luang prabang,herb,Central America,Cultivated,High,Limited,Widespread/Common
gossypium hirsutum,,cotton,gossypium,malvaceae,malvales,dicots,,mallows,,Fifty Plants,herb,Central America,Cultivated,High,Major,Widespread/Common
graptopetalum paraguayense,,ghost-plant,graptopetalum,crassulaceae,saxifragales,dicots,,stonecrop,,Amman garden,herb,Central America,Cultivated,High,Limited,Widespread/Common
grevillea robusta,,silk oak,grevillea,proteaceae,proteales,dicots,,proteas,tree,around amman,tree,Australia,Both,Moderate,Limited,Widespread/Common
,,,hamamelis,hamamelidaceae,saxifragales,dicots,witch hazel,,,NA,shrub,Asia,Both,High,Limited,Widespread/Common
hamelia patens,,firebush,hamelia,rubiaceae,gentianales,dicots,,madder,,yarmouk river,shrub,Central America,Cultivated,Moderate,Limited,Widespread/Common
,,,haworthia,asphodelaceae,asparagales,monocots,haworthias,,,NA,herb,Africa,Cultivated,High,Limited,Widespread/Common
hebe speciosa,,veronica speciosa,hebe,plantaginaceae,lamiales,dicots,hebes,,,around amman,shrub,New Zealand,Cultivated,High,Limited,Widespread/Common
hedera helix,,common ivy,hedera,araliaceae,apiales,dicots,,aralia,,Amman garden,vine,Europe,Both,Moderate,Limited,Widespread/Common
hedychium coronarium,,white ginger lily,hedychium,zingiberaceae,zingiberales,monocots,,,,singapore,herb,Asia,Cultivated,High,Limited,Widespread/Common
,,,helenium,asteraceae,asterales,dicots,sneezeweeds,,,NA,herb,North America,Both,Moderate,Limited,Widespread/Common
helianthus annuus,,sunflower,helianthus,asteraceae,asterales,dicots,,daisy and sunflower,,Fifty plants,herb,North America,Cultivated,High,Major,Widespread/Common
helianthus annuus,,common sunflower,helianthus,asteraceae,asterales,dicots,sunflowers,,,around amman,herb,North America,Both,High,Major,Widespread/Common
heliconia bihai,,red palulu,heliconia,heliconiaceae,zingiberales,monocots,,,,jakarta,herb,Central America,Cultivated,High,Limited,Widespread/Common
heliconia latispatha,,expanded lobsterclaw,heliconia,heliconiaceae,zingiberales,monocots,,,,Kew,herb,Central America,Cultivated,High,Limited,Widespread/Common
heliconia rostrata,,hanging lobster claw,heliconia,heliconiaceae,zingiberales,monocots,,,,jakarta,herb,Central America,Cultivated,High,Limited,Widespread/Common
heliopsis helianthoides,,false sunflower,heliopsis,asteraceae,asterales,dicots,oxeyes,,,greenwich,herb,Eastern North America,Wild,Low,None,Widespread/Common
,,,heliotropium,boraginaceae,boraginales,dicots,heliotropes,,,NA,herb,Tropical worldwide,Both,Moderate,Limited,Widespread/Common
hellenia speciosa,,crepe ginger,hellenia,costaceae,zingiberales,monocots,,,,singapore,herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
helminthotheca echioides,,bristly oxtongue,helminthotheca,asteraceae,asterales,dicots,,daisy and sunflower,,Scandinavian forest,herb,Europe,Wild,Low,None,Widespread/Common
hemerocallis lilioasphodelus,,yellow daylily,hemerocallis,asphodelaceae,asparagales,monocots,,,,london,herb,Asia,Cultivated,High,Limited,Widespread/Common
,,,hemerocallis,asphodelaceae,asparagales,monocots,daylilies,,,NA,herb,Asia,Cultivated,High,Limited,Widespread/Common
heracleum sphondylium,,cow parsnip,heracleum,apiaceae,apiales,dicots,,,,kintbury,herb,Europe,Wild,Low,None,Widespread/Common
heuchera americana,,american alumroot,heuchera,saxifragaceae,saxifragales,dicots,,,,greenwich,herb,North America,Both,Moderate,Limited,Widespread/Common
heuchera micrantha,,crevice alumroot,heuchera,saxifragaceae,saxifragales,dicots,alumroots,,,greenwich,herb,North America,Both,Moderate,Limited,Widespread/Common
hevea brasiliensis,,rubber tree,hevea,euphorbiaceae,malpighiales,dicots,,spurges,,Fifty plants,tree,South America,Cultivated,Moderate,Major,Widespread/Common
hibbertia scandens,,climbing guinea flower,hibbertia,dilleniaceae,dilleniales,dicots,,,,sydney,vine,Australia,Wild,Low,None,Widespread/Common
hibiscus moscheutos,,rose mallow,hibiscus,malvaceae,malvales,dicots,,,,new york,herb,Eastern North America,Both,Moderate,Limited,Widespread/Common
hibiscus rosa-sinensis,,chinese hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallows,,yarmouk river,shrub,Asia,Cultivated,High,Limited,Widespread/Common
hibiscus sabdariffa,,roselle,hibiscus,malvaceae,malvales,dicots,hibiscuses,,,luang prabang,herb,Africa,Cultivated,Moderate,Limited,Widespread/Common
hibiscus syriacus,,common hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,,,around amman,shrub,Asia,Both,High,Limited,Widespread/Common
hibiscus tiliaceus,,sea hibiscus,hibiscus,malvaceae,malvales,dicots,,,,NA,tree,Tropical coastlines,Wild,Low,None,Widespread/Common
holcus lanatus,,tufted grass,holcus,poaceae,poales,monocots,,,,knighton,herb,Europe,Wild,Low,None,Widespread/Common
homalanthus populifolius,,bleeding heart,homalanthus,euphorbiaceae,malpighiales,dicots,,,,sydney,shrub,Australia,Wild,Low,None,Widespread/Common
hordeum murinum,,wild barley,hordeum,poaceae,poales,monocots,,,,kintbury,herb,Mediterranean,Wild,Low,None,Widespread/Common
hordeum vulgare,,barley,hordeum,poaceae,poales,monocots,barleys,grasses,,Fifty plants,herb,Mediterranean,Cultivated,High,Major,Widespread/Common
,,,hosta,asparagaceae,asparagales,monocots,hostas,,,NA,herb,Asia,Cultivated,High,Limited,Widespread/Common
,,,hoya,apocynaceae,gentianales,dicots,waxplant,,,NA,vine,Asia,Cultivated,High,Limited,Widespread/Common
humulus lupulus,,hop,humulus,cannabaceae,rosales,dicots,,,,Fifty plants,vine,Northern Hemisphere,Cultivated,Moderate,Major,Widespread/Common
,,,hyacinthus,asparagaceae,asparagales,monocots,hyacinths,,,NA,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
hydrangea arborescens,,smooth hydrangea,hydrangea,hydrangeaceae,cornales,dicots,,,,knighton,shrub,Eastern North America,Both,High,Limited,Widespread/Common
hydrangea macrophylla,,mophead hydrangea,hydrangea,hydrangeaceae,cornales,dicots,hydrangeas,,,greenwich,shrub,Asia,Cultivated,High,Limited,Widespread/Common
hydrangea quercifolia,,oakleaf hydrangea,hydrangea,hydrangeaceae,cornales,dicots,,,,new york,shrub,Eastern North America,Both,High,Limited,Widespread/Common
hylocomium splendens,,stairstep moss,hylocomium,hylocomiaceae,hypnales,mosses,hylocomium,,,charlevoix,herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
hylodesmum glutinosum,,pointed-leaved tick-trefoil,hylodesmum,fabaceae,fabales,dicots,,,,greenwich,herb,Eastern North America,Wild,Low,None,Widespread/Common
hylotelephium telephium,,orpine,hylotelephium,crassulaceae,saxifragales,dicots,,,,greenwich,herb,Europe,Both,Moderate,Limited,Widespread/Common
,,,hylotelephium,crassulaceae,saxifragales,dicots,orpines,,,NA,herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
hymenocallis littoralis,,beach spider lily,hymenocallis,amaryllidaceae,asparagales,monocots,,,,jakarta,herb,Tropical coastlines,Cultivated,High,Limited,Widespread/Common
hypericum perforatum,,st johns wort,hypericum,hypericaceae,malpighiales,dicots,,,,knighton,herb,Europe,Both,Low,Limited,Widespread/Common
hypericum pulchrum,,slender st johns wort,hypericum,hypericaceae,malpighiales,dicots,,,,knighton,herb,Europe,Wild,Low,None,Widespread/Common
hypoestes phyllostachya,,polka dot plant,hypoestes,acanthaceae,lamiales,dicots,,,,ottawa,herb,Madagascar,Cultivated,High,Limited,Widespread/Common
,,,hyssopus,lamiaceae,lamiales,dicots,hyssop,,,NA,herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
ibervillea lindheimeri,,snake apple,ibervillea,cucurbitaceae,cucurbitales,dicots,,,,yogyakarta,vine,North America,Wild,Low,None,Locally common
ilex cornuta,,horned holly,ilex,aquifoliaceae,aquifoliales,dicots,,,,kintbury,shrub,Asia,Cultivated,High,Limited,Widespread/Common
ilex mucronata,,mountain holly,ilex,aquifoliaceae,aquifoliales,dicots,hollies,,,charlevoix,shrub,Eastern North America,Wild,Low,None,Widespread/Common
impatiens hawkeri,,new guinea impatiens,impatiens,balsaminaceae,ericales,dicots,,,,Kew,herb,New Guinea,Cultivated,High,Limited,Widespread/Common
impatiens walleriana,,busy lizzie,impatiens,balsaminaceae,ericales,dicots,,,,bandung,herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,imperata,poaceae,poales,monocots,satintails,,,NA,herb,Tropical worldwide,Wild,Low,None,Widespread/Common
indigofera tinctoria,,indigo,indigofera,fabaceae,fabales,dicots,,legumes,,Fifty plants,herb,Asia,Cultivated,Low,Major,Widespread/Common
inula helenium,,elfdock,inula,asteraceae,asterales,dicots,,,,london,herb,Europe,Both,Low,Limited,Widespread/Common
ipomoea batatas,,sweet potato,ipomoea,convulvulaceae,solanales,dicots,morning glory/sweet potato,bindweeds,,Fifty plants,herb,Central America,Cultivated,Moderate,Major,Widespread/Common
ipomoea cairica,,coast morning glory,ipomoea,convulvulaceae,solanales,dicots,morning glory/sweet potato,,,bandung,vine,Africa,Both,Low,None,Widespread/Common
iresine herbstii,,bloodleaf,iresine,amaranthaceae,caryophyllales,dicots,,amaranth,,Expo,herb,Central America,Cultivated,High,Limited,Widespread/Common
iris germanica,,bearded iris,iris,iridaceae,asparagales,monocots,irises,irises,,around amman,herb,Europe,Cultivated,High,Limited,Widespread/Common
iris nigricans,,black iris,iris,iridaceae,asparagales,monocots,irises,irises,,online,herb,Mediterranean,Both,Moderate,Limited,Locally common
iris siberica,,siberian iris,Iris,iridaceae,asparagales,monocots,irises,,,Kew,herb,Asia,Both,High,Limited,Widespread/Common
ixora chinensis,,chinese ixora,ixora,rubiaceae,gentianales,dicots,,,,jakarta,shrub,Asia,Cultivated,High,Limited,Widespread/Common
ixora coccinea,,jungle flame,ixora,rubiaceae,gentianales,dicots,,,,NA,shrub,Asia,Cultivated,High,Limited,Widespread/Common
jacaranda mimosifolia,,blue jacaranda,jacaranda,bignoniaceae,lamiales,dicots,jacarandas,bignonia,tree,yarmouk river,tree,South America,Cultivated,Moderate,Limited,Widespread/Common
jacobaea maritima,,silver ragwort,jacobaea,asteraceae,asterales,dicots,,,,around amman,herb,Mediterranean,Cultivated,Moderate,Limited,Widespread/Common
jacobaea vulgaris,,ragwort,jacobaea,asteraceae,asterales,dicots,,,,london,herb,Europe,Wild,Low,None,Widespread/Common
jasminum mesnyi,,primrose jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,olive,,embassy garden,shrub,Asia,Cultivated,High,Limited,Widespread/Common
jasminum nudiflorum,,winter jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,,,knighton,shrub,Asia,Cultivated,High,Limited,Widespread/Common
jasminum sambac,,arabian jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,olive,,yarmouk river,shrub,Asia,Cultivated,High,Limited,Widespread/Common
jatropha curcas,,poison nut,jatropha,euphorbiaceae,malpighiales,dicots,,,,luang prabang,shrub,Central America,Cultivated,Moderate,Limited,Widespread/Common
jatropha gossypiifolia,,bellyache bush,jatropha,euphorbiaceae,malpighiales,dicots,,,,timor leste,shrub,Central America,Wild,Low,None,Widespread/Common
jatropha integerrima,,peregrina,jatropha,euphorbiaceae,malpighiales,dicots,,,,NA,shrub,Caribbean,Cultivated,Moderate,Limited,Widespread/Common
juglans nigra,,eastern black walnut,juglans,juglandaceae,fagales,dicots,walnuts,,tree,greenwich,tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
juglans regia,,persian walnut,juglans,juglandaceae,fagales,dicots,walnuts,walnuts,,online,tree,Asia,Cultivated,High,Major,Widespread/Common
,,,juncus,juncaceae,poales,monocots,rushes,,,NA,herb,Worldwide,Wild,Low,None,Widespread/Common
juniperus communis,,common juniper,juniperus,cupressaceae,cupressales,conifers,,,tree,NA,shrub,Northern Hemisphere,Wild,Low,None,Widespread/Common
juniperus oxycedrus,,western prickly juniper,juniperus,cupressaceae,cupressales,conifers,,,tree,NA,shrub,Mediterranean,Wild,Low,None,Widespread/Common
justicia spicigera,,moyotle,justicia,acanthaceae,lamiales,dicots,justicia,,,around amman,herb,Central America,Cultivated,Moderate,Limited,Widespread/Common
kalanchoe blossfeldiana,,flaming katy,kalanchoe,crassulaceae,saxifragales,dicots,,stonecrop,,Amman garden,herb,Madagascar,Cultivated,High,Limited,Widespread/Common
kalanchoe daigremontiana,,alligator plant,kalanchoe,crassulaceae,saxifragales,dicots,,stonecrop,,Amman garden,herb,Madagascar,Cultivated,High,Limited,Widespread/Common
kalanchoe pinnatum,,life plant,kalanchoe,crassulaceae,saxifragales,dicots,,,,luang prabang,herb,Madagascar,Both,Moderate,Limited,Widespread/Common
kigelia africana,,sausage tree,kigelia,bignoniaceae,lamiales,dicots,,,tree,jakarta,tree,Africa,Both,Low,None,Widespread/Common
,,,knautia,caprifoliaceae,dipsacales,dicots,widow flowers,,,NA,herb,Europe,Wild,Low,None,Widespread/Common
kniphofia uvaria,,red hot poker,kniphofia,asphodelaceae,asparagales,monocots,,,,london,herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,kniphofia,asphodelaceae,asparagales,monocots,red hot poker,,,NA,herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,koelreuteria,sapindaceae,sapindales,dicots,rain trees,,,NA,tree,Asia,Both,Moderate,Limited,Widespread/Common
kroenleinia grusonii,,golden barrel cactus,kroenleinia,cactaceae,caryophyllales,dicots,,,,NA,herb,Central America,Cultivated,High,Limited,Widespread/Common
kumara plicatilis,,fan aloe,kumara,asphodelaceae,asparagales,monocots,,,,singapore,herb,Africa,Cultivated,High,Limited,Widespread/Common
kunzea robusta,,rawinui,kunzea,myrtaceae,myrtales,dicots,,,,Kew,tree,New Zealand,Wild,Low,None,Locally common
lactuca serriola,,prickly lettuce,lactuca,asteraceae,asterales,dicots,,,,NA,herb,Europe,Wild,Low,None,Widespread/Common
,,,lamium,lamiaceae,lamiales,dicots,dead-nettle,,,NA,herb,Europe,Wild,Low,None,Widespread/Common
lantana camara,,common lantana,lantana,verbenaceae,lamiales,dicots,,,,Kempinski,shrub,Central America,Both,Moderate,Limited,Widespread/Common
larix decidua,,,larix,pinaceae,pinales,conifers,larches,,,knighton,tree,Europe,Both,Low,Limited,Widespread/Common
larix kaempferi,,japanese larch,larix,pinaceae,pinales,conifers,larches,,tree,kew,tree,Asia,Both,Moderate,Limited,Widespread/Common
larix laricina,,tamarack,larix,pinaceae,pinales,conifers,larches,,,charlevoix,tree,North America,Wild,Low,Limited,Widespread/Common
lathyrus odoratus,,sweet pea,lathyrus,fabaceae,fabales,dicots,,legumes,,Fifty plants,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
lathyrus sylvestris,,flat pea,lathyrus,fabaceae,fabales,dicots,sweet peas and vetchlings,,,charlevoix,herb,Europe,Wild,Low,None,Widespread/Common
,,,laurus,lauraceae,laurales,early angiosperms,laurels,,,NA,tree,Mediterranean,Both,Moderate,Limited,Widespread/Common
lavandula angustifolia,,english lavender,lavandula,lamiaceae,lamiales,dicots,lavanders,mints,,Expo,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
lavandula dentata,,french lavender,lavandula,lamiaceae,lamiales,dicots,,mints,,Office,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
lavandula stoechas,,topped lavender,lavandula,lamiaceae,lamiales,dicots,,mints,,garden,herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
