
SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,SPECIFIC LOCATION,GENERAL LOCATION,HEMISPHERE,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS,SOURCE,NOTES,IMAGE
,,,,,,,,,,,unknown,,,,,,,,,natural,,
crataegus monogyna,,common hawthorne,crataegus,rosaceae,rosales,dicots,hawthorns,rose family,,london,tree,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
crocosmia x crocosmiflora,,montbretia,crocosmia,iridaceae,asparagales,monocots,,,,london,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,bred,,
crocus sativus,,saffron,crocus,iridaceae,asparagales,monocots,crocuses,irises,geophyte,Fifty plants,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Major,Widespread/Common,natural,,
cucumis melo,,melon,cucumis,cucurbitaceae,cucurbitales,dicots,cucumbers,,,luang prabang,herb,Africa,,Africa,Both,Cultivated,High,Major,Widespread/Common,natural,,
,,,,,,,,,,,unknown,,,,,,,,,natural,,
,,,cucurbita,cucurbitaceae,cucurbitales,dicots,squashes,,,,herb,Americas,,Americas,Both,Cultivated,High,Major,Widespread/Common,natural,,
cuminum cyminum,,cumin,cuminum,apiaceae,apiales,dicots,cumin,carrots,,Fifty plants,herb,Mediterranean,,Mediterranean,Northern,Cultivated,Moderate,Major,Widespread/Common,natural,,
cunninghamia lanceolata,,chinese fir,cunninghamia,cupressaceae,cupressales,conifers,,cypress family,phanerophyte,london,tree,China,China,Asia,Northern,Both,Low,Limited,Widespread/Common,natural,,
cupressus cashmeriana,,kashmir cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,cypress family,phanerophyte,kew,tree,Himalayas,Himalayas,Asia,Northern,Both,Low,Limited,Uncommon,natural,,
cupressus nootkatensis,,nootka cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,cypress family,phanerophyte,Kew,tree,Western North America,,North America,Northern,Both,Low,Limited,Widespread/Common,natural,,
cupressus sempervirens,,mediterranean cypress,cupressus,cupressaceae,cupressales,conifers,cypresses,cypresses,phanerophyte,Scandinavian forest,tree,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,cuscuta,convulvulaceae,solanales,dicots,dodder,,,,vine,Worldwide,,Worldwide,Both,Wild,Low,None,Widespread/Common,natural,,
cycas revoluta,,sago cycad,cycas,cycadaceae,cycadales,cycads,cycads,cycads,,Amman garden,herb,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,cyclamen,primulaceae,ericales,dicots,sowbread,,,,herb,Mediterranean,,Mediterranean,Northern,Both,High,Limited,Widespread/Common,natural,,
cydonia oblonga,,quince,cydonia,rosaceae,rosales,dicots,,rose family,,around amman,tree,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
cylindropuntia leptocaulis,,christmas cholla,cylindropuntia,cactaceae,caryophyllales,dicots,,cactus,,petra desert,shrub,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
cymbalaria muralis,,oxford ivy,cymbalaria,plantaginaceae,lamiales,dicots,,,,dorset,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,cynara,asteraceae,asterales,dicots,artichokes,daisy family,,,herb,Mediterranean,,Mediterranean,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
cynosurus echinatus,,hedgehog dogtail,cynosurus,poaceae,poales,monocots,,grasses,,amman,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
cyperus papyrus,,papyrus,cyperus,cyperaceae,poales,monocots,,sedges,,Fifty plants,herb,Africa,,Africa,Both,Both,Low,Limited,Widespread/Common,natural,,
cytisus scoparius,,scotch broom,cytisus,fabaceae,fabales,dicots,,legume family,,london,shrub,Europe,,Europe,Northern,Both,Low,None,Widespread/Common,natural,,
dacrydium cupressinum,,rimu,dacrydium,podocarpaceae,araucariales,conifers,,,,Kew,tree,New Zealand,New Zealand,Oceania,Southern,Both,Low,Limited,Locally common,natural,,
dahlia pinnata,,garden dahlia,dahlia,asteraceae,asterales,dicots,dahlias,daisy and sunflower,,Floral bouquet,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,dalbergia,fabaceae,fabales,dicots,rosewoods,legume family,,,tree,Tropical worldwide,,Tropical worldwide,Both,Both,Low,Limited,Uncommon,natural,,
daucus carota,,wild carrot,daucus,apiaceae,apiales,dicots,,carrot family,,kintbury,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
daucus pusillus,,american wild carrot,daucus,apiaceae,apiales,dicots,,carrots,,umm qais,herb,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
delonix regia,,flame tree,delonix,fabaceae,fabales,dicots,,legume family,,luang prabang,tree,Madagascar,Madagascar,Africa,Southern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
,,,delphinium,ranunculaceae,ranunculales,dicots,larkspur,,,,herb,Northern Hemisphere,,,Northern,Both,High,Limited,Widespread/Common,natural,,
,,,deschampsia,poaceae,poales,monocots,hairgrass,grass family,,,herb,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
diamorpha smallii,,elf orpine,diamorpha,crassulaceae,saxifragales,dicots,,stonecrop,,Scandinavian forest,herb,Eastern North America,,North America,Northern,Wild,Low,None,Locally common,natural,,
,,,dianthus,caryophyllaceae,caryophyllales,dicots,carnations,carnation family,,,herb,Europe,,Europe,Northern,Cultivated,High,Major,Widespread/Common,natural,,
dicranopteris linearis,,uluhe,dicranopteris,gleicheniacea,gleicheniales,ferns,,,,singapore,herb,Tropical worldwide,,Tropical worldwide,Both,Wild,Low,None,Widespread/Common,natural,,
,,,dieffenbachia,araceae,alismatales,monocots,,,,,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,dierama,iridaceae,asparagales,monocots,fairybells,,,,herb,Africa,,Africa,Both,Both,Moderate,Limited,Widespread/Common,natural,,
digitalis purpurea,,foxglove,digitalis,plantaginaceae,lamiales,dicots,foxgloves,,,Fifty plants,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
dimorphotheca fruticosa,,trailing african daisy,dimorphotheca,asteraceae,asterales,dicots,,daisy and sunflower,,around amman,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
dionaea muscipula,,venus fly trap,dionaea,droseraceae,caryophyllales,dicots,,,,singapore,herb,Eastern North America,,North America,Northern,Cultivated,High,Limited,Rare,natural,,
,,,dionaea,droseraceae,caryophyllales,dicots,fly-traps,,,,herb,Eastern North America,,North America,Northern,Wild,Low,None,Rare,natural,,
diplotaxis tenuifolia,,perennial wall-rocket,diplotaxis,brassicaceae,brassicales,dicots,,mustard family,,knighton,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
dipsacus fullonum,,wild teasel,dipsacus,caprifoliaceae,dipsacales,dicots,,,,knighton,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,dipsacus,caprifoliaceae,dipsacales,dicots,teasels,,,,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
discaria toumatou,,matagouri,discaria,rhamnaceae,rosales,dicots,,,,Scandinavian forest,shrub,New Zealand,New Zealand,Oceania,Southern,Wild,Low,None,Locally common,natural,,
,,,disporum,colchicaceae,liliales,monocots,fairy bells,,,,herb,Asia,,Asia,Northern,Wild,Low,None,Widespread/Common,natural,,
dodonea viscosa,,varnishleaf,dodonaea,sapindaceae,sapindales,dicots,,soapberry,,Amman garden,shrub,Australia,Australia,Australia,Southern,Both,Low,None,Widespread/Common,natural,,
doellingeria umbellata,,flat-top white aster,doellingeria,asteraceae,asterales,dicots,whitetops,daisy family,,charlevoix,herb,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
dombeya wallichi,,tropical hydrangea,dombeya,malvaceae,malvales,dicots,,mallows,,garden,tree,Madagascar,Madagascar,Africa,Southern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
doryanthes excelsa,,gymea lily,doryanthes,doryanthacea,asparagales,monocots,,,,sydney,herb,Australia,Australia,Australia,Southern,Both,Low,None,Locally common,natural,,
dracaena draco,,dragon tree,dracaena,asparagaceae,asparagales,monocots,,,,singapore,tree,Canary Islands,Canary Islands,Atlantic islands,Northern,Cultivated,Moderate,Limited,Uncommon,natural,,
dracaena fragrans,,cornstalk dracaena,dracaena,asparagaceae,asparagales,monocots,,,,luang prabang,shrub,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
dracaena reflexa,,song of India,dracaena,asparagaceae,asparagales,monocots,,,,Bermondsey,shrub,Madagascar,Madagascar,Africa,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
dracaena trifasciata,,snake plant,dracaena,asparagaceae,asparagales,monocots,,asparagus,,Expo,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
drimia maritima,,sea squill,drimia,asparagaceae,asparagales,monocots,,asparagus,,Scandinavian forest,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
drosanthemum floribundum,,pale dewplant,drosanthemum,aizoaceae,caryophyllales,dicots,,stone plants,,embassy garden,herb,Africa,,Africa,Both,Cultivated,Moderate,Limited,Widespread/Common,natural,,
,,,drosera,droseraceae,caryophyllales,dicots,sundew,,,,herb,Worldwide,,Worldwide,Both,Wild,Moderate,Limited,Widespread/Common,natural,,
dryopteris marginalis,,marginal wood fern,dryopteris,dryopteridaceae,polypodiales,ferns,,,,greenwich,herb,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
duranta erecta,,skyflower,duranta,verbenaceae,lamiales,dicots,,verbenas,,yarmouk river,shrub,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
durio zibethinus,,durian,durio,malvaceae,malvales,dicots,,mallow family,,bandung,tree,Southeast Asia,,Southeast Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
dypsis lutescens,,areca palm,dypsis,arecaceae,arecales,monocots,,,,lombok,tree,Madagascar,Madagascar,Africa,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,ebenopsis,fabaceae,fabales,dicots,texas ebony,legume family,,,tree,North America,,North America,Northern,Wild,Low,None,Locally common,natural,,
echinacea purpurea,,purple coneflower,echinacea,asteraceae,asterales,dicots,coneflowers,daisy family,,greenwich,herb,Eastern North America,,North America,Northern,Both,High,Limited,Widespread/Common,natural,,
echinocereus pentalophus,,ladyfinger cactus,echinocereus,cactaceae,caryophyllales,dicots,,cactus family,,singapore,herb,North America,,North America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
echinodorus cordifolius,,creeping burhead,echinodorus,alismataceae,alismatales,monocots,,,,jakarta,herb,Americas,,Americas,Both,Both,Low,None,Widespread/Common,natural,,
echinops ritro,,southern globe-thistle,echinops,asteraceae,asterales,dicots,,daisy family,,london,herb,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,echinops,asteraceae,asterales,dicots,globe thistles,daisy family,,,herb,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
echium pininana,,giant vipers-bugloss,echium,boraginaceae,boraginales,dicots,,borage family,,Kew,herb,Canary Islands,Canary Islands,Atlantic islands,Northern,Cultivated,Moderate,Limited,Locally common,natural,,
ehrharta erecta,,panic veldtgrass,ehrharta,poaceae,poales,monocots,,grass family,,perth,herb,Africa,,Africa,Both,Wild,Low,None,Widespread/Common,natural,,
,,,elaeis,arecaceae,arecales,monocots,oil palms,,,,tree,Africa,,Africa,Both,Cultivated,Moderate,Major,Widespread/Common,natural,,
elaeagnus angustifolia,,russian olive,eleagnus,eleagnaceae,rosales,dicots,,,,Expo,tree,Asia,,Asia,Northern,Both,Low,Limited,Widespread/Common,natural,,
eleagnus umbellata,,autumn olive,eleagnus,eleagnaceae,rosales,dicots,oleasters,,,greenwich,shrub,Asia,,Asia,Northern,Both,Low,None,Widespread/Common,natural,,
,,,eleocharis,cyperaceae,poales,monocots,spikesedges,,,,herb,Worldwide,,Worldwide,Both,Wild,Low,None,Widespread/Common,natural,,
elettaria cardamomum,,cardamom,elettaria,zingiberaceae,zingiberales,monocots,,ginger,,Fifty plants,herb,India,India,Asia,Northern,Cultivated,Moderate,Major,Widespread/Common,natural,,
eleusine indica,,goosegrass,eleusine,poaceae,poales,monocots,,grass family,,luang prabang,herb,Africa,,Africa,Both,Wild,Low,None,Widespread/Common,natural,,
encephalartos horridus,,eastern cape blue cycad,encephalartos,zamiaceae,cycadales,cycads,,,,kew,herb,Africa,,Africa,Both,Cultivated,Low,None,Rare,natural,,
encephalartos woodii,,wood's cycad,encephalartos,zamiaceae,cycadales,cycads,,,,kew,herb,Africa,,Africa,Both,Cultivated,Low,None,Very rare/Endangered,natural,,
ephedra antisyphilitica,,joint-fir,ephedra,ephedraceae,ephedrales,gnetophytes,,,,Expo,shrub,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
epilobium montium,,,epilobium,onagraceae,myrtales,dicots,,,,knighton,herb,Northern Hemisphere,,,Northern,Wild,Low,None,Widespread/Common,natural,,
epipremnum aureum,,taro vine,epipremnum,araceae,alismatales,monocots,,,,jakarta,vine,Southeast Asia,,Southeast Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
erica verticillata,,whorl heath,erica,ericaceae,ericales,dicots,heathers,heath family,,kew,shrub,Africa,,Africa,Both,Cultivated,Moderate,Limited,Rare,natural,,
eriobotrya japonica,,loquat,eriobotrya,rosaceae,rosales,dicots,loquats,roses,,Office,tree,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
,,,erodium,geraniaceae,geraniales,dicots,storksbill,,,,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
eruca vesicaria,,rocket,eruca,brassicaceae,brassicales,dicots,,mustard and cabbage,,Scandinavian forest,herb,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
eryngium yuccifolium,,rattlesnake master,eryngium,apiaceae,apiales,dicots,,carrot family,,new york,herb,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
erysimum cheiranthoides,,wormseed mustard,erysimum,brassicaceae,brassicales,dicots,,mustard family,,knighton,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,erythronium,liliaceae,liliales,monocots,glacier lilies,,,,herb,Northern Hemisphere,,,Northern,Wild,Moderate,Limited,Widespread/Common,natural,,
erythroxylum coca,,cocaine,erythroxylum,erythroxylaceae,malpighiales,dicots,,,,Fifty plants,shrub,South America,,South America,Southern,Cultivated,Low,Major,Locally common,natural,,
escallonia robra,,redclaws,escallonia,escalloniacea,escallioniales,dicots,,,,nanaimo,shrub,South America,,South America,Southern,Both,Moderate,Limited,Widespread/Common,natural,,
etlingera elatior,,torch ginger,etlingera,zingiberaceae,zingiberales,monocots,,,,singapore,herb,Southeast Asia,,Southeast Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
eucalyptus camaldulensis,,river redgum,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,myrtles,phanerophyte,umm qais,tree,Australia,Australia,Australia,Southern,Both,Low,Limited,Widespread/Common,natural,,
eucalyptus cinerea,,silver dollar tree,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,myrtle family,,knighton,tree,Australia,Australia,Australia,Southern,Both,Moderate,Limited,Widespread/Common,natural,,
eucalyptus deglupta,,rainbow eucalyptus,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,myrtle family,,perth,tree,Southeast Asia,,Southeast Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
eucalyptus obliqua,,tasmanian oak,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,myrtles,phanerophyte,Fifty plants,tree,Australia,Australia,Australia,Southern,Both,Low,Major,Widespread/Common,natural,,
eucalyptus robusta,,swamp mahogany,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,myrtle family,,sydney,tree,Australia,Australia,Australia,Southern,Both,Low,Limited,Widespread/Common,natural,,
eunymus japonicus,,japanese spindle tree,euonymus,celastraceae,celastrales,dicots,,,,Amman garden,shrub,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
euatorium capillifolium,,dogfennel,eupatorium,asteraceae,asterales,dicots,,daisy and sunflower,,wadi attun,herb,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
eupatorium cannabinum,,holy rope,eupatorium,asteraceae,asterales,dicots,,daisy family,,london,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
codiaeum variegatum,,veriegated croton,euphorbia,euphorbiaceae,malpighiales,dicots,,spurge family,,jakarta,shrub,Southeast Asia,,Southeast Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
euphorbia caput-medusae,,medusa's head,euphorbia,euphorbiaceae,malpighiales,dicots,,spurge family,,,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
euphorbia cyparissias,,cypress spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurge family,,nanaimo,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
euphorbia hypericifolia,,graceful spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurge family,,timor leste,herb,Americas,,Americas,Both,Wild,Low,None,Widespread/Common,natural,,
euphorbia milii,,crown-of-thorns,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurge family,,jakarta,shrub,Madagascar,Madagascar,Africa,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
euphorbia oblongata,,eggleaf spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurges,,Scandinavian forest,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
euphorbia peplus,,petty spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurges,,yarmouk river,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
euphorbia pulcherrima,,poinsettia,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurge family,,around amman,shrub,Central America,,Central America,Northern,Cultivated,High,Major,Widespread/Common,natural,,
euphorbia terracina,,geraldton carnation weed,euphorbia,euphorbiaceae,malpighiales,dicots,,spurges,,umm qais,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
euphorbia tirucalli,,fire stick,euphorbia,euphorbiaceae,malpighiales,dicots,,spurges,,Expo,shrub,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
euphorbia tithymaloides,,devil's backbone,euphorbia,euphorbiaceae,malpighiales,dicots,,spurge family,,jakarta,herb,Central America,,Central America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
euphorbia trigona,,african milk weed,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurge family,,around amman,shrub,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
,,,euryale,nymphaeaceae,nymphaeales,early angiosperms,fox nut,,,,herb,Asia,,Asia,Northern,Wild,Low,Limited,Locally common,natural,,
eurybia macrophylla,,large-leaved aster,eurybia,asteraceae,asterales,dicots,wood asters,daisy family,,charlevoix,herb,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
euryops pectinatus,,grey-leaved euryops,euryops,asteraceae,asterales,dicots,paris daisies,daisy family,,around amman,shrub,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
eutrochium maculatum,,spotted joe-pye weed,eutrochium,asteraceae,asterales,dicots,,daisy family,,london,herb,Eastern North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,fagopyrum,polygonaceae,caryophyllales,dicots,buckwheat,,,,herb,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
fagus grandifolia,,american beech,fagus,fagaceae,fagales,dicots,,beech family,phanerophyte,greenwich,tree,Eastern North America,,North America,Northern,Wild,Low,Limited,Widespread/Common,natural,,
fagus sylvatica,,european beech,fagus,fagaceae,fagales,dicots,beeches,"oak, chestnut and beech",phanerophyte,online,tree,Europe,,Europe,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
,,,fallopia,polygonaceae,caryophyllales,dicots,knotweeds,,,,herb,Asia,,Asia,Northern,Wild,Low,None,Widespread/Common,natural,,
fatsia japonica,,japanese aralia,fatsia,araliaceae,apiales,dicots,,aralia,,london,shrub,Asia,,Asia,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
ferocactus pilosus,,mexican fire barrel,ferocactus,cactaceae,caryophyllales,dicots,,cactus family,,,herb,North America,,North America,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
ferula communis,,giant fennel,ferula,apiaceae,apiales,dicots,,carrots,,umm qais,herb,Mediterranean,,Mediterranean,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,festuca,poaceae,poales,monocots,fescues,grass family,,,herb,Worldwide,,Worldwide,Both,Wild,Low,Limited,Widespread/Common,natural,,
ficus benghalensis,,indian banyan,ficus,moraceae,rosales,dicots,fig,mulberry family,epiphyte,,tree,India,India,Asia,Northern,Both,Low,Limited,Widespread/Common,natural,,
ficus benjamina,,weeping fig,ficus,moraceae,rosales,dicots,fig,mulberry family,,sydney,tree,Southeast Asia,,Southeast Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
ficus carica,,common fig,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,around amman,tree,Mediterranean,,Mediterranean,Northern,Cultivated,Moderate,Limited,Widespread/Common,natural,,
ficus elastica,,rubber plant,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,online,tree,India,India,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
ficus lyrata,,fiddle-leaf fig,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,yarmouk river,tree,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
ficus macrophylla,,australian banyan,ficus,moraceae,rosales,dicots,figs,mulberry family,,perth,tree,Australia,Australia,Australia,Southern,Both,Low,None,Widespread/Common,natural,,
ficus microcarpa,,chinese banyan,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,Expo,tree,Southeast Asia,,Southeast Asia,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
ficus religiosa,,sacred fig,ficus,moraceae,rosales,dicots,figs,mulberry family,,luang prabang,tree,India,India,Asia,Northern,Both,Low,Limited,Widespread/Common,natural,,
ficus rubiginosa,,port jackson fig,ficus,moraceae,rosales,dicots,fig,mulberry family,,sydney,tree,Australia,Australia,Australia,Southern,Wild,Low,None,Widespread/Common,natural,,
ficus subpisocarpa,,japanese superb fig,ficus,moraceae,rosales,dicots,fig,mulberry family,,jakarta,tree,Asia,,Asia,Northern,Both,Low,None,Widespread/Common,natural,,
filipendula rubra,,queen-of-the-prairie,filipendula,rosaceae,rosales,dicots,,rose family,,london,herb,North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
flourensia cernua,,tarbush,flourensia,asteraceae,asterales,dicots,,daisy family,,,shrub,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
foeniculum vulgare,,fennel,foeniculum,apiaceae,apiales,dicots,fennel,carrots,,Fifty plants,herb,Mediterranean,,Mediterranean,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
forestiera pubescens,,stretchberry,forestiera,oleaceae,lamiales,dicots,,olive,,Scandinavian forest,shrub,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,fortunella,rutaceae,sapindales,dicots,kumquats,citrus family,,,tree,Asia,,Asia,Northern,Cultivated,High,Limited,Widespread/Common,natural,,
,,,fothergilla,hamamelidaceae,saxifragales,dicots,witchelder,,,,shrub,Eastern North America,,North America,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
fraxinus excelsior,,european ash,fraxinus,oleaceae,lamiales,dicots,ash,olive family,phanerophyte,kintbury,tree,Europe,,Europe,Northern,Both,Low,Limited,Widespread/Common,natural,,
fraxinus latifolia,,oregon ash,fraxinus,oleaceae,lamiales,dicots,ashes,olive family,,luang prabang,tree,Western North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
fraxinus velutina,,arizona ash,fraxinus,oleaceae,lamiales,dicots,ashes,olive family,phanerophyte,kew,tree,Western North America,,North America,Northern,Both,Low,Limited,Widespread/Common,natural,,
,,,freesia,iridaceae,asparagales,monocots,freesias,,,,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
,,,fritillaria,liliaceae,liliales,monocots,,,,,herb,Northern Hemisphere,,,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
fuchsia boliviana,,lady's eardrops,fuchsia,onagraceae,myrtales,dicots,fuschias,,,Kew,shrub,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
fuchsia hybrida,,,fuchsia,onagraceae,myrtales,dicots,fuschias,,,singapore,shrub,South America,,South America,Southern,Cultivated,High,Limited,Widespread/Common,natural,,
fuchsia magellanica,,hummingbird fuchsia,fuchsia,onagraceae,myrtales,dicots,fuschias,,,dorset,shrub,South America,,South America,Southern,Both,High,Limited,Widespread/Common,natural,,
fucus distichus,,rockweed,fucus,fucaceae,fucales,algae,,,,nanaimo,herb,North Atlantic,,North Atlantic,Northern,Wild,Low,None,Widespread/Common,natural,,
gagea lutea,,yellow star-of-bethlehem,gagea,liliaceae,liliales,monocots,,lilies,,Scandinavian forest,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,galanthus,amaryllidaceae,asparagales,monocots,snowdrops,,,,herb,Europe,,Europe,Northern,Both,High,Limited,Widespread/Common,natural,,
galium andrewsii,,phlox-leaved bedstraw,galium,rubiaceae,gentianales,dicots,,,,,herb,North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
galium aparine,,catchweed bedstraw,galium,rubiaceae,gentianales,dicots,,madder,,amman,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
gaultheria shallon,,salal,gaultheria,ericaceae,ericales,dicots,,heath family,,nanaimo,shrub,Western North America,,North America,Northern,Wild,Low,None,Widespread/Common,natural,,
gazania linearis,,,gazania,asteraceae,asterales,dicots,,daisy family,,singapore,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
gazania rigens,,uniform treasureflower,gazania,asteraceae,asterales,dicots,,daisy family,,around amman,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
,,,gentiana,gentianaceae,gentianales,dicots,gentians,,,,herb,Northern Hemisphere,,,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
geranium pratense,,meadow geranium,geranium,geraniaceae,geraniales,dicots,,,,knighton,herb,Europe,,Europe,Northern,Wild,Low,None,Widespread/Common,natural,,
,,,geranium,geraniaceae,geraniales,dicots,cranesbill,,,,herb,Northern Hemisphere,,,Northern,Both,Moderate,Limited,Widespread/Common,natural,,
gingko biloba,,gingko biloba,gingko,gingkoaceae,gingkoales,gingkophyta,gingko,,phanerophyte,Kew,tree,China,China,Asia,Northern,Both,Moderate,Limited,Locally common,natural,,
,,,gladiolus,iridaceae,asparagales,monocots,gladioli,,,,herb,Africa,,Africa,Both,Cultivated,High,Limited,Widespread/Common,natural,,
