SPECIES,LITERAL LATIN,COMMON NAME,GENUS,FAMILY,ORDER,CLADE,COMMON GENUS NAME,COMMON FAMILY NAME,LIFE-FORM TYPE,SEEN AT,GROWTH FORM,GEOGRAPHIC ORIGIN,GROWTH HABIT,HORTICULTURAL DEVELOPMENT,COMMERCIAL STATUS,CONSERVATION STATUS
encephalartos woodii,,wood's cycad,encephalartos,zamiaceae,cycadales,cycads,,,,kew,Herb,Africa,Cultivated,Low,None,Very rare/Endangered
ephedra antisyphilitica,,joint-fir,ephedra,ephedraceae,ephedrales,gnetophytes,,,,Expo,Shrub,North America,Wild,Low,None,Widespread/Common
epilobium montium,,,epilobium,onagraceae,myrtales,dicots,,,,knighton,Herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
epipremnum aureum,,taro vine,epipremnum,araceae,alismatales,monocots,,,,jakarta,Vine,Southeast Asia,Cultivated,High,Limited,Widespread/Common
erica verticillata,,whorl heath,erica,ericaceae,ericales,dicots,heathers,,,kew,Shrub,Africa,Cultivated,Moderate,Limited,Rare
eriobotrya japonica,,loquat,eriobotrya,rosaceae,rosales,dicots,loquats,roses,,Office,Tree,Asia,Cultivated,Moderate,Limited,Widespread/Common
,,,erodium,geraniaceae,geraniales,dicots,storksbill,,,NA,Herb,Mediterranean,Wild,Low,None,Widespread/Common
eruca vesicaria,,rocket,eruca,brassicaceae,brassicales,dicots,,mustard and cabbage,,Scandinavian forest,Herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
eryngium yuccifolium,,rattlesnake master,eryngium,apiaceae,apiales,dicots,,,,new york,Herb,North America,Wild,Low,None,Widespread/Common
erysimum cheiranthoides,,wormseed mustard,erysimum,brassicaceae,brassicales,dicots,,,,knighton,Herb,Europe,Wild,Low,None,Widespread/Common
,,,erythronium,liliaceae,liliales,monocots,glacier lilies,,,NA,Herb,Northern Hemisphere,Wild,Moderate,Limited,Widespread/Common
erythroxylum coca,,cocaine,erythroxylum,erythroxylaceae,malpighiales,dicots,,,,Fifty plants,Shrub,South America,Cultivated,Low,Major,Locally common
escallonia robra,,redclaws,escallonia,escalloniacea,escallioniales,dicots,,,,nanaimo,Shrub,South America,Both,Moderate,Limited,Widespread/Common
etlingera elatior,,torch ginger,etlingera,zingiberaceae,zingiberales,monocots,,,,singapore,Herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
eucalyptus camaldulensis,,river redgum,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,myrtles,tree,umm qais,Tree,Australia,Both,Low,Limited,Widespread/Common
eucalyptus cinerea,,silver dollar tree,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,,,knighton,Tree,Australia,Both,Moderate,Limited,Widespread/Common
eucalyptus deglupta,,rainbow eucalyptus,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,,,perth,Tree,Southeast Asia,Both,Moderate,Limited,Widespread/Common
eucalyptus obliqua,,tasmanian oak,eucalyptus,myrtaceae,myrtales,dicots,eucalyptus,myrtles,tree,Fifty plants,Tree,Australia,Both,Low,Major,Widespread/Common
eucalyptus robusta,,swamp mahogany,eucalyptus,myrtaceae,myrtales,dicots,,,,sydney,Tree,Australia,Both,Low,Limited,Widespread/Common
eunymus japonicus,,japanese spindle tree,euonymus,celastraceae,celastrales,dicots,,,,Amman garden,Shrub,Asia,Cultivated,Moderate,Limited,Widespread/Common
euatorium capillifolium,,dogfennel,eupatorium,asteraceae,asterales,dicots,,daisy and sunflower,,wadi attun,Herb,North America,Wild,Low,None,Widespread/Common
eupatorium cannabinum,,holy rope,eupatorium,asteraceae,asterales,dicots,,,,london,Herb,Europe,Wild,Low,None,Widespread/Common
codiaeum variegatum,,veriegated croton,euphorbia,euphorbiaceae,malpighiales,dicots,,,,jakarta,Shrub,Southeast Asia,Cultivated,High,Limited,Widespread/Common
euphorbia caput-medusae,,medusa's head,euphorbia,euphorbiaceae,malpighiales,dicots,,,,NA,Herb,Africa,Cultivated,High,Limited,Widespread/Common
euphorbia cyparissias,,cypress spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,,nanaimo,Herb,Europe,Wild,Low,None,Widespread/Common
euphorbia hypericifolia,,graceful spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,,timor leste,Herb,Americas,Wild,Low,None,Widespread/Common
euphorbia milii,,crown-of-thorns,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,,jakarta,Shrub,Madagascar,Cultivated,High,Limited,Widespread/Common
euphorbia oblongata,,eggleaf spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurges,,Scandinavian forest,Herb,Europe,Wild,Low,None,Widespread/Common
euphorbia peplus,,petty spurge,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,spurges,,yarmouk river,Herb,Europe,Wild,Low,None,Widespread/Common
euphorbia pulcherrima,,poinsettia,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,,around amman,Shrub,Central America,Cultivated,High,Major,Widespread/Common
euphorbia terracina,,geraldton carnation weed,euphorbia,euphorbiaceae,malpighiales,dicots,,spurges,,umm qais,Herb,Mediterranean,Wild,Low,None,Widespread/Common
euphorbia tirucalli,,fire stick,euphorbia,euphorbiaceae,malpighiales,dicots,,spurges,,Expo,Shrub,Africa,Cultivated,High,Limited,Widespread/Common
euphorbia tithymaloides,,devil's backbone,euphorbia,euphorbiaceae,malpighiales,dicots,,,,jakarta,Herb,Central America,Cultivated,High,Limited,Widespread/Common
euphorbia trigona,,african milk weed,euphorbia,euphorbiaceae,malpighiales,dicots,spurges,,,around amman,Shrub,Africa,Cultivated,High,Limited,Widespread/Common
,,,euryale,nymphaeaceae,nymphaeales,early angiosperms,fox nut,,,NA,Herb,Asia,Wild,Low,Limited,Locally common
eurybia macrophylla,,large-leaved aster,eurybia,asteraceae,asterales,dicots,wood asters,,,charlevoix,Herb,Eastern North America,Wild,Low,None,Widespread/Common
euryops pectinatus,,grey-leaved euryops,euryops,asteraceae,asterales,dicots,paris daisies,,,around amman,Shrub,Africa,Cultivated,High,Limited,Widespread/Common
eutrochium maculatum,,spotted joe-pye weed,eutrochium,asteraceae,asterales,dicots,,,,london,Herb,Eastern North America,Wild,Low,None,Widespread/Common
,,,fagopyrum,polygonaceae,caryophyllales,dicots,buckwheat,,,NA,Herb,Asia,Cultivated,Moderate,Limited,Widespread/Common
fagus grandifolia,,american beech,fagus,fagaceae,fagales,dicots,,,tree,greenwich,Tree,Eastern North America,Wild,Low,Limited,Widespread/Common
fagus sylvatica,,european beech,fagus,fagaceae,fagales,dicots,beeches,"oak, chestnut and beech",tree,online,Tree,Europe,Both,Moderate,Limited,Widespread/Common
,,,fallopia,polygonaceae,caryophyllales,dicots,knotweeds,,,NA,Herb,Asia,Wild,Low,None,Widespread/Common
fatsia japonica,,japanese aralia,fatsia,araliaceae,apiales,dicots,,aralia,,london,Shrub,Asia,Cultivated,Moderate,Limited,Widespread/Common
ferocactus pilosus,,mexican fire barrel,ferocactus,cactaceae,caryophyllales,dicots,,,,NA,Herb,North America,Cultivated,High,Limited,Widespread/Common
ferula communis,,giant fennel,ferula,apiaceae,apiales,dicots,,carrots,,umm qais,Herb,Mediterranean,Wild,Low,None,Widespread/Common
,,,festuca,poaceae,poales,monocots,fescues,,,NA,Herb,Worldwide,Wild,Low,Limited,Widespread/Common
ficus benghalensis,,indian banyan,ficus,moraceae,rosales,dicots,,,epiphyte,NA,Tree,India,Both,Low,Limited,Widespread/Common
ficus benjamina,,weeping fig,ficus,moraceae,rosales,dicots,,,,sydney,Tree,Southeast Asia,Cultivated,High,Limited,Widespread/Common
ficus carica,,common fig,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,around amman,Tree,Mediterranean,Cultivated,Moderate,Limited,Widespread/Common
ficus elastica,,rubber plant,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,online,Tree,India,Cultivated,High,Limited,Widespread/Common
ficus lyrata,,fiddle-leaf fig,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,yarmouk river,Tree,Africa,Cultivated,High,Limited,Widespread/Common
ficus macrophylla,,australian banyan,ficus,moraceae,rosales,dicots,figs,,,perth,Tree,Australia,Both,Low,None,Widespread/Common
ficus microcarpa,,chinese banyan,ficus,moraceae,rosales,dicots,figs,fig or mulberry,,Expo,Tree,Southeast Asia,Both,Moderate,Limited,Widespread/Common
ficus religiosa,,sacred fig,ficus,moraceae,rosales,dicots,figs,,,luang prabang,Tree,India,Both,Low,Limited,Widespread/Common
ficus rubiginosa,,port jackson fig,ficus,moraceae,rosales,dicots,,,,sydney,Tree,Australia,Wild,Low,None,Widespread/Common
ficus subpisocarpa,,japanese superb fig,ficus,moraceae,rosales,dicots,,,,jakarta,Tree,Asia,Both,Low,None,Widespread/Common
filipendula rubra,,queen-of-the-prairie,filipendula,rosaceae,rosales,dicots,,,,london,Herb,North America,Both,Moderate,Limited,Widespread/Common
flourensia cernua,,tarbush,flourensia,asteraceae,asterales,dicots,,,,NA,Shrub,North America,Wild,Low,None,Widespread/Common
foeniculum vulgare,,fennel,foeniculum,apiaceae,apiales,dicots,fennel,carrots,,Fifty plants,Herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
forestiera pubescens,,stretchberry,forestiera,oleaceae,lamiales,dicots,,olive,,Scandinavian forest,Shrub,North America,Wild,Low,None,Widespread/Common
,,,fortunella,rutaceae,sapindales,dicots,kumquats,,,NA,Tree,Asia,Cultivated,High,Limited,Widespread/Common
,,,fothergilla,hamamelidaceae,saxifragales,dicots,witchelder,,,NA,Shrub,Eastern North America,Both,Moderate,Limited,Widespread/Common
fraxinus excelsior,,european ash,fraxinus,oleaceae,lamiales,dicots,,,tree,kintbury,Tree,Europe,Both,Low,Limited,Widespread/Common
fraxinus latifolia,,oregon ash,fraxinus,oleaceae,lamiales,dicots,ashes,,,luang prabang,Tree,Western North America,Wild,Low,None,Widespread/Common
fraxinus velutina,,arizona ash,fraxinus,oleaceae,lamiales,dicots,ashes,,tree,kew,Tree,Western North America,Both,Low,Limited,Widespread/Common
,,,freesia,iridaceae,asparagales,monocots,freesias,,,NA,Herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,fritillaria,liliaceae,liliales,monocots,,,,NA,Herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
fuchsia boliviana,,lady's eardrops,fuchsia,onagraceae,myrtales,dicots,fuschias,,,Kew,Shrub,South America,Cultivated,High,Limited,Widespread/Common
fuchsia hybrida,,,fuchsia,onagraceae,myrtales,dicots,fuschias,,,singapore,Shrub,South America,Cultivated,High,Limited,Widespread/Common
fuchsia magellanica,,hummingbird fuchsia,fuchsia,onagraceae,myrtales,dicots,fuschias,,,dorset,Shrub,South America,Both,High,Limited,Widespread/Common
fucus distichus,,rockweed,fucus,fucaceae,fucales,algae,,,,nanaimo,Herb,North Atlantic,Wild,Low,None,Widespread/Common
gagea lutea,,yellow star-of-bethlehem,gagea,liliaceae,liliales,monocots,,lilies,,Scandinavian forest,Herb,Europe,Wild,Low,None,Widespread/Common
,,,galanthus,amaryllidaceae,asparagales,monocots,snowdrops,,,NA,Herb,Europe,Both,High,Limited,Widespread/Common
galium andrewsii,,phlox-leaved bedstraw,galium,rubiaceae,gentianales,dicots,,,,NA,Herb,North America,Wild,Low,None,Widespread/Common
galium aparine,,catchweed bedstraw,galium,rubiaceae,gentianales,dicots,,madder,,amman,Herb,Europe,Wild,Low,None,Widespread/Common
gaultheria shallon,,salal,gaultheria,ericaceae,ericales,dicots,,,,nanaimo,Shrub,Western North America,Wild,Low,None,Widespread/Common
gazania linearis,,,gazania,asteraceae,asterales,dicots,,,,singapore,Herb,Africa,Cultivated,High,Limited,Widespread/Common
gazania rigens,,uniform treasureflower,gazania,asteraceae,asterales,dicots,,,,around amman,Herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,gentiana,gentianaceae,gentianales,dicots,gentians,,,NA,Herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
geranium pratense,,meadow geranium,geranium,geraniaceae,geraniales,dicots,,,,knighton,Herb,Europe,Wild,Low,None,Widespread/Common
,,,geranium,geraniaceae,geraniales,dicots,cranesbill,,,NA,Herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
gingko biloba,,gingko biloba,gingko,gingkoaceae,gingkoales,gingkophyta,gingko,,tree,Kew,Tree,China,Both,Moderate,Limited,Locally common
,,,gladiolus,iridaceae,asparagales,monocots,gladioli,,,NA,Herb,Africa,Cultivated,High,Limited,Widespread/Common
gleditsia japonica,,japanese locust,gleditsia,fabaceae,fabales,dicots,,,tree,kew,Tree,Asia,Both,Low,None,Widespread/Common
gleditsia triacanthos,,honey locust,gleditsia,fabaceae,fabales,dicots,honey locusts,,tree,greenwich,Tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
gliricidia sepium,,madre de cacao,gliricidia,fabaceae,fabales,dicots,,,,timor leste,Tree,Central America,Cultivated,Low,Limited,Widespread/Common
glycine max,,soybean,glycine,fabaceae,fabales,dicots,,legumes,,Fifty plants,Herb,Asia,Cultivated,High,Major,Widespread/Common
gomphocarpus fruticopus,,narrow-leaf cotton,gomphocarpus,apocynaceae,gentianales,dicots,,dog-banes,,petra desert,Herb,Africa,Wild,Low,None,Widespread/Common
gomphrena globosa,,globe amaranth,gomphrena,amaranthaceae,caryophyllales,dicots,,,,luang prabang,Herb,Central America,Cultivated,High,Limited,Widespread/Common
gossypium hirsutum,,cotton,gossypium,malvaceae,malvales,dicots,,mallows,,Fifty Plants,Herb,Central America,Cultivated,High,Major,Widespread/Common
graptopetalum paraguayense,,ghost-plant,graptopetalum,crassulaceae,saxifragales,dicots,,stonecrop,,Amman garden,Herb,Central America,Cultivated,High,Limited,Widespread/Common
grevillea robusta,,silk oak,grevillea,proteaceae,proteales,dicots,,proteas,tree,around amman,Tree,Australia,Both,Moderate,Limited,Widespread/Common
,,,hamamelis,hamamelidaceae,saxifragales,dicots,witch hazel,,,NA,Shrub,Asia,Both,High,Limited,Widespread/Common
hamelia patens,,firebush,hamelia,rubiaceae,gentianales,dicots,,madder,,yarmouk river,Shrub,Central America,Cultivated,Moderate,Limited,Widespread/Common
,,,haworthia,asphodelaceae,asparagales,monocots,haworthias,,,NA,Herb,Africa,Cultivated,High,Limited,Widespread/Common
hebe speciosa,,veronica speciosa,hebe,plantaginaceae,lamiales,dicots,hebes,,,around amman,Shrub,New Zealand,Cultivated,High,Limited,Widespread/Common
hedera helix,,common ivy,hedera,araliaceae,apiales,dicots,,aralia,,Amman garden,Vine,Europe,Both,Moderate,Limited,Widespread/Common
hedychium coronarium,,white ginger lily,hedychium,zingiberaceae,zingiberales,monocots,,,,singapore,Herb,Asia,Cultivated,High,Limited,Widespread/Common
,,,helenium,asteraceae,asterales,dicots,sneezeweeds,,,NA,Herb,North America,Both,Moderate,Limited,Widespread/Common
helianthus annuus,,sunflower,helianthus,asteraceae,asterales,dicots,,daisy and sunflower,,Fifty plants,Herb,North America,Cultivated,High,Major,Widespread/Common
helianthus annuus,,common sunflower,helianthus,asteraceae,asterales,dicots,sunflowers,,,around amman,Herb,North America,Both,High,Major,Widespread/Common
heliconia bihai,,red palulu,heliconia,heliconiaceae,zingiberales,monocots,,,,jakarta,Herb,Central America,Cultivated,High,Limited,Widespread/Common
heliconia latispatha,,expanded lobsterclaw,heliconia,heliconiaceae,zingiberales,monocots,,,,Kew,Herb,Central America,Cultivated,High,Limited,Widespread/Common
heliconia rostrata,,hanging lobster claw,heliconia,heliconiaceae,zingiberales,monocots,,,,jakarta,Herb,Central America,Cultivated,High,Limited,Widespread/Common
heliopsis helianthoides,,false sunflower,heliopsis,asteraceae,asterales,dicots,oxeyes,,,greenwich,Herb,Eastern North America,Wild,Low,None,Widespread/Common
,,,heliotropium,boraginaceae,boraginales,dicots,heliotropes,,,NA,Herb,Tropical worldwide,Both,Moderate,Limited,Widespread/Common
hellenia speciosa,,crepe ginger,hellenia,costaceae,zingiberales,monocots,,,,singapore,Herb,Southeast Asia,Cultivated,High,Limited,Widespread/Common
helminthotheca echioides,,bristly oxtongue,helminthotheca,asteraceae,asterales,dicots,,daisy and sunflower,,Scandinavian forest,Herb,Europe,Wild,Low,None,Widespread/Common
hemerocallis lilioasphodelus,,yellow daylily,hemerocallis,asphodelaceae,asparagales,monocots,,,,london,Herb,Asia,Cultivated,High,Limited,Widespread/Common
,,,hemerocallis,asphodelaceae,asparagales,monocots,daylilies,,,NA,Herb,Asia,Cultivated,High,Limited,Widespread/Common
heracleum sphondylium,,cow parsnip,heracleum,apiaceae,apiales,dicots,,,,kintbury,Herb,Europe,Wild,Low,None,Widespread/Common
heuchera americana,,american alumroot,heuchera,saxifragaceae,saxifragales,dicots,,,,greenwich,Herb,North America,Both,Moderate,Limited,Widespread/Common
heuchera micrantha,,crevice alumroot,heuchera,saxifragaceae,saxifragales,dicots,alumroots,,,greenwich,Herb,North America,Both,Moderate,Limited,Widespread/Common
hevea brasiliensis,,rubber tree,hevea,euphorbiaceae,malpighiales,dicots,,spurges,,Fifty plants,Tree,South America,Cultivated,Moderate,Major,Widespread/Common
hibbertia scandens,,climbing guinea flower,hibbertia,dilleniaceae,dilleniales,dicots,,,,sydney,Vine,Australia,Wild,Low,None,Widespread/Common
hibiscus moscheutos,,rose mallow,hibiscus,malvaceae,malvales,dicots,,,,new york,Herb,Eastern North America,Both,Moderate,Limited,Widespread/Common
hibiscus rosa-sinensis,,chinese hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,mallows,,yarmouk river,Shrub,Asia,Cultivated,High,Limited,Widespread/Common
hibiscus sabdariffa,,roselle,hibiscus,malvaceae,malvales,dicots,hibiscuses,,,luang prabang,Herb,Africa,Cultivated,Moderate,Limited,Widespread/Common
hibiscus syriacus,,common hibiscus,hibiscus,malvaceae,malvales,dicots,hibiscuses,,,around amman,Shrub,Asia,Both,High,Limited,Widespread/Common
hibiscus tiliaceus,,sea hibiscus,hibiscus,malvaceae,malvales,dicots,,,,NA,Tree,Tropical coastlines,Wild,Low,None,Widespread/Common
holcus lanatus,,tufted grass,holcus,poaceae,poales,monocots,,,,knighton,Herb,Europe,Wild,Low,None,Widespread/Common
homalanthus populifolius,,bleeding heart,homalanthus,euphorbiaceae,malpighiales,dicots,,,,sydney,Shrub,Australia,Wild,Low,None,Widespread/Common
hordeum murinum,,wild barley,hordeum,poaceae,poales,monocots,,,,kintbury,Herb,Mediterranean,Wild,Low,None,Widespread/Common
hordeum vulgare,,barley,hordeum,poaceae,poales,monocots,barleys,grasses,,Fifty plants,Herb,Mediterranean,Cultivated,High,Major,Widespread/Common
,,,hosta,asparagaceae,asparagales,monocots,hostas,,,NA,Herb,Asia,Cultivated,High,Limited,Widespread/Common
,,,hoya,apocynaceae,gentianales,dicots,waxplant,,,NA,Vine,Asia,Cultivated,High,Limited,Widespread/Common
humulus lupulus,,hop,humulus,cannabaceae,rosales,dicots,,,,Fifty plants,Vine,Northern Hemisphere,Cultivated,Moderate,Major,Widespread/Common
,,,hyacinthus,asparagaceae,asparagales,monocots,hyacinths,,,NA,Herb,Mediterranean,Cultivated,High,Limited,Widespread/Common
hydrangea arborescens,,smooth hydrangea,hydrangea,hydrangeaceae,cornales,dicots,,,,knighton,Shrub,Eastern North America,Both,High,Limited,Widespread/Common
hydrangea macrophylla,,mophead hydrangea,hydrangea,hydrangeaceae,cornales,dicots,hydrangeas,,,greenwich,Shrub,Asia,Cultivated,High,Limited,Widespread/Common
hydrangea quercifolia,,oakleaf hydrangea,hydrangea,hydrangeaceae,cornales,dicots,,,,new york,Shrub,Eastern North America,Both,High,Limited,Widespread/Common
hylocomium splendens,,stairstep moss,hylocomium,hylocomiaceae,hypnales,mosses,hylocomium,,,charlevoix,Herb,Northern Hemisphere,Wild,Low,None,Widespread/Common
hylodesmum glutinosum,,pointed-leaved tick-trefoil,hylodesmum,fabaceae,fabales,dicots,,,,greenwich,Herb,Eastern North America,Wild,Low,None,Widespread/Common
hylotelephium telephium,,orpine,hylotelephium,crassulaceae,saxifragales,dicots,,,,greenwich,Herb,Europe,Both,Moderate,Limited,Widespread/Common
,,,hylotelephium,crassulaceae,saxifragales,dicots,orpines,,,NA,Herb,Northern Hemisphere,Both,Moderate,Limited,Widespread/Common
hymenocallis littoralis,,beach spider lily,hymenocallis,amaryllidaceae,asparagales,monocots,,,,jakarta,Herb,Tropical coastlines,Cultivated,High,Limited,Widespread/Common
hypericum perforatum,,st johns wort,hypericum,hypericaceae,malpighiales,dicots,,,,knighton,Herb,Europe,Both,Low,Limited,Widespread/Common
hypericum pulchrum,,slender st johns wort,hypericum,hypericaceae,malpighiales,dicots,,,,knighton,Herb,Europe,Wild,Low,None,Widespread/Common
hypoestes phyllostachya,,polka dot plant,hypoestes,acanthaceae,lamiales,dicots,,,,ottawa,Herb,Madagascar,Cultivated,High,Limited,Widespread/Common
,,,hyssopus,lamiaceae,lamiales,dicots,hyssop,,,NA,Herb,Mediterranean,Both,Moderate,Limited,Widespread/Common
ibervillea lindheimeri,,snake apple,ibervillea,cucurbitaceae,cucurbitales,dicots,,,,yogyakarta,Vine,North America,Wild,Low,None,Locally common
ilex cornuta,,horned holly,ilex,aquifoliaceae,aquifoliales,dicots,,,,kintbury,Shrub,Asia,Cultivated,High,Limited,Widespread/Common
ilex mucronata,,mountain holly,ilex,aquifoliaceae,aquifoliales,dicots,hollies,,,charlevoix,Shrub,Eastern North America,Wild,Low,None,Widespread/Common
impatiens hawkeri,,new guinea impatiens,impatiens,balsaminaceae,ericales,dicots,,,,Kew,Herb,New Guinea,Cultivated,High,Limited,Widespread/Common
impatiens walleriana,,busy lizzie,impatiens,balsaminaceae,ericales,dicots,,,,bandung,Herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,imperata,poaceae,poales,monocots,satintails,,,NA,Herb,Tropical worldwide,Wild,Low,None,Widespread/Common
indigofera tinctoria,,indigo,indigofera,fabaceae,fabales,dicots,,legumes,,Fifty plants,Herb,Asia,Cultivated,Low,Major,Widespread/Common
inula helenium,,elfdock,inula,asteraceae,asterales,dicots,,,,london,Herb,Europe,Both,Low,Limited,Widespread/Common
ipomoea batatas,,sweet potato,ipomoea,convulvulaceae,solanales,dicots,morning glory/sweet potato,bindweeds,,Fifty plants,Herb,Central America,Cultivated,Moderate,Major,Widespread/Common
ipomoea cairica,,coast morning glory,ipomoea,convulvulaceae,solanales,dicots,morning glory/sweet potato,,,bandung,Vine,Africa,Both,Low,None,Widespread/Common
iresine herbstii,,bloodleaf,iresine,amaranthaceae,caryophyllales,dicots,,amaranth,,Expo,Herb,Central America,Cultivated,High,Limited,Widespread/Common
iris germanica,,bearded iris,iris,iridaceae,asparagales,monocots,irises,irises,,around amman,Herb,Europe,Cultivated,High,Limited,Widespread/Common
iris nigricans,,black iris,iris,iridaceae,asparagales,monocots,irises,irises,,online,Herb,Mediterranean,Both,Moderate,Limited,Locally common
iris siberica,,siberian iris,Iris,iridaceae,asparagales,monocots,irises,,,Kew,Herb,Asia,Both,High,Limited,Widespread/Common
ixora chinensis,,chinese ixora,ixora,rubiaceae,gentianales,dicots,,,,jakarta,Shrub,Asia,Cultivated,High,Limited,Widespread/Common
ixora coccinea,,jungle flame,ixora,rubiaceae,gentianales,dicots,,,,NA,Shrub,Asia,Cultivated,High,Limited,Widespread/Common
jacaranda mimosifolia,,blue jacaranda,jacaranda,bignoniaceae,lamiales,dicots,jacarandas,bignonia,tree,yarmouk river,Tree,South America,Cultivated,Moderate,Limited,Widespread/Common
jacobaea maritima,,silver ragwort,jacobaea,asteraceae,asterales,dicots,,,,around amman,Herb,Mediterranean,Cultivated,Moderate,Limited,Widespread/Common
jacobaea vulgaris,,ragwort,jacobaea,asteraceae,asterales,dicots,,,,london,Herb,Europe,Wild,Low,None,Widespread/Common
jasminum mesnyi,,primrose jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,olive,,embassy garden,Shrub,Asia,Cultivated,High,Limited,Widespread/Common
jasminum nudiflorum,,winter jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,,,knighton,Shrub,Asia,Cultivated,High,Limited,Widespread/Common
jasminum sambac,,arabian jasmine,jasminum,oleaceae,lamiales,dicots,jasmines,olive,,yarmouk river,Shrub,Asia,Cultivated,High,Limited,Widespread/Common
jatropha curcas,,poison nut,jatropha,euphorbiaceae,malpighiales,dicots,,,,luang prabang,Shrub,Central America,Cultivated,Moderate,Limited,Widespread/Common
jatropha gossypiifolia,,bellyache bush,jatropha,euphorbiaceae,malpighiales,dicots,,,,timor leste,Shrub,Central America,Wild,Low,None,Widespread/Common
jatropha integerrima,,peregrina,jatropha,euphorbiaceae,malpighiales,dicots,,,,NA,Shrub,Caribbean,Cultivated,Moderate,Limited,Widespread/Common
juglans nigra,,eastern black walnut,juglans,juglandaceae,fagales,dicots,walnuts,,tree,greenwich,Tree,Eastern North America,Both,Moderate,Limited,Widespread/Common
juglans regia,,persian walnut,juglans,juglandaceae,fagales,dicots,walnuts,walnuts,,online,Tree,Asia,Cultivated,High,Major,Widespread/Common
,,,juncus,juncaceae,poales,monocots,rushes,,,NA,Herb,Worldwide,Wild,Low,None,Widespread/Common
juniperus communis,,common juniper,juniperus,cupressaceae,cupressales,conifers,,,tree,NA,Shrub,Northern Hemisphere,Wild,Low,None,Widespread/Common
juniperus oxycedrus,,western prickly juniper,juniperus,cupressaceae,cupressales,conifers,,,tree,NA,Shrub,Mediterranean,Wild,Low,None,Widespread/Common
justicia spicigera,,moyotle,justicia,acanthaceae,lamiales,dicots,justicia,,,around amman,Herb,Central America,Cultivated,Moderate,Limited,Widespread/Common
kalanchoe blossfeldiana,,flaming katy,kalanchoe,crassulaceae,saxifragales,dicots,,stonecrop,,Amman garden,Herb,Madagascar,Cultivated,High,Limited,Widespread/Common
kalanchoe daigremontiana,,alligator plant,kalanchoe,crassulaceae,saxifragales,dicots,,stonecrop,,Amman garden,Herb,Madagascar,Cultivated,High,Limited,Widespread/Common
kalanchoe pinnatum,,life plant,kalanchoe,crassulaceae,saxifragales,dicots,,,,luang prabang,Herb,Madagascar,Both,Moderate,Limited,Widespread/Common
kigelia africana,,sausage tree,kigelia,bignoniaceae,lamiales,dicots,,,tree,jakarta,Tree,Africa,Both,Low,None,Widespread/Common
,,,knautia,caprifoliaceae,dipsacales,dicots,widow flowers,,,NA,Herb,Europe,Wild,Low,None,Widespread/Common
kniphofia uvaria,,red hot poker,kniphofia,asphodelaceae,asparagales,monocots,,,,london,Herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,kniphofia,asphodelaceae,asparagales,monocots,red hot poker,,,NA,Herb,Africa,Cultivated,High,Limited,Widespread/Common
,,,koelreuteria,sapindaceae,sapindales,dicots,rain trees,,,NA,Tree,Asia,Both,Moderate,Limited,Widespread/Common
kroenleinia grusonii,,golden barrel cactus,kroenleinia,cactaceae,caryophyllales,dicots,,,,NA,Herb,Central America,Cultivated,High,Limited,Widespread/Common
kumara plicatilis,,fan aloe,kumara,asphodelaceae,asparagales,monocots,,,,singapore,Herb,Africa,Cultivated,High,Limited,Widespread/Common
kunzea robusta,,rawinui,kunzea,myrtaceae,myrtales,dicots,,,,Kew,Tree,New Zealand,Wild,Low,None,Locally common
lactuca serriola,,prickly lettuce,lactuca,asteraceae,asterales,dicots,,,,NA,Herb,Europe,Wild,Low,None,Widespread/Common
,,,lamium,lamiaceae,lamiales,dicots,dead-nettle,,,NA,Herb,Europe,Wild,Low,None,Widespread/Common
lantana camara,,common lantana,lantana,verbenaceae,lamiales,dicots,,,,Kempinski,Shrub,Central America,Both,Moderate,Limited,Widespread/Common
larix decidua,,,larix,pinaceae,pinales,conifers,larches,,,knighton,Tree,Europe,Both,Low,Limited,Widespread/Common
